u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,s,r
1263.6,1431.9,1605.3,1765.7,1976.8,2120.4,2225.7,2320.1,2489.8,2671.3,2877.8,3001.2,3105.2,3277.3,3412.5,3580.6,3715.2,3814.6,3910.6,4089.6,4262.9,4473.1,4667.9,4744,4838,5020.5,5198.7,5410.3,5529.8,5635.1,5789.4,5889.8,6066.1,6196.1,6347.6,6487.7,6587,6677.8,6848.8,7025.5,7229.1,7427.1,7516,7611.8,7787.6,7960.8,8177.8,8298.6,8402.7,8554.8,8653.3,8822.2,8958.2,9123.1,9267,9370.5,9464.3,9648.4,9827.9,10035,10592,10725,10911,11049,11151,11246,11432,11607,11824,11944,12049,12199,12298,12476,12613,12791,12936,13034,13128,13323,13504,13714,13832,13937,14083,14186,14350,14492
1300.7,1478,1651.8,1842.2,2051,2194.3,2296.8,2382,2599.9,2758.9,2938.7,3051.4,3192.2,3351.8,3481.2,3655.9,3788.8,3890.5,3976.4,4201,4353.1,4539.1,4716.3,4818.3,4906.2,5134.7,5291.9,5477.2,5583.6,5722.5,5842.2,5978.2,6137.5,6272.2,6429.6,6560.6,6660.8,6746.6,6972.1,7116.2,7304.8,7491.2,7592,7681.1,7902.1,8047.5,8243.9,8353.8,8489.2,8607.2,8741.6,8895.1,9030,9199.1,9343,9442.3,9533.2,9761.9,9918.1,10102,10642,10812,10995,11128,11230,11317,11552,11702,11893,11996,12133,12253,12381,12550,12680,12868,13011,13107,13195,13436,13549,13781,13887,14019,14139,14266,14431,14564
