u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1816.7,1969.9,2182.8,2322.6,2423.6,2517.1,2691.5,2870.5,3083.1,3209.8,3312.5,3492.8,3622.3,3785.1,3924.1,4024.1,4118.7,4303,4484.4,4727.6,4852.2,4956.8,5141.4,5276.6,5449.1,5588.3,5691.3,5784.7,5957.3,6141.1,6349.3,6475,6576.7,6733.8,6834.8,6993.8,7125.2,7292.1,7427.7,7522.5,7618.9,7794.2,7969.9,8171.4,8364.6,8458,8553.3,8732.2,8913.7,9129.4,9262.7,9368.6,9530.7,9633.8,9800.4,9936.5,10094,10239,10344,10437,10618,10798,11017,11137,11242,11389,11492,11683,11818,11980,12121,12219,12316,12497,12678,12903,13028,13136,13281,13387,13573,13713,13908,14051,14156,14255,14452,14640,14874,14999,15106,15263,15363,15540,15677,15844,15988,16089,16185,16373,16564,16795,16929,17034,17194,17295,17485,17627,17805,17959,18058,18156,18358,18541,18775,18912,19014,19174,19279,19463,19617
1852.7,2048.5,2265.1,2397.3,2497.8,2581.3,2807.3,2959.2,3147.6,3261.7,3396.7,3564.1,3699.7,3862.7,4000.4,4101.8,4186,4419.4,4576.8,4785.9,4905.2,5033.9,5212.8,5346.6,5528,5666.1,5770.6,5851.9,6061.7,6228.7,6417.5,6532.2,6654.4,6786.5,6907.3,7070.2,7205.3,7376,7501.9,7600.3,7684.8,7918.7,8062.2,8257.9,8435.2,8537.8,8621.4,8852.8,9009.9,9198.7,9320.5,9463.5,9589.7,9716.6,9874.8,10007,10182,10321,10423,10510,10737,10893,11088,11192,11321,11444,11580,11758,11891,12064,12194,12300,12387,12616,12781,12971,13087,13214,13343,13465,13652,13789,13992,14132,14236,14325,14572,14733,14938,15055,15193,15323,15447,15616,15753,15928,16065,16170,16254,16487,16667,16864,16992,17119,17253,17385,17563,17702,17892,18034,18140,18224,18485,18633,18845,18973,19100,19232,19368,19540,19692
