u,u,r,n,n,a,b,l,e,t,d,x,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1012.6,1768.6,1938.8,2156.5,2302,2401.7,2498.2,2681.9,2854.8,3063.5,3188,3289.1,3609.7,3816.3,3951.4,4149.2,4286.1,4381.4,4472.7,4635.2,4809,5008.1,5129.7,5229.3,5396.8,5526.7,5680.9,5820.8,5924.4,6015.9,6183.4,6357.5,6564.4,6686.1,6790.8,6944.5,7046.5,7219.8,7357.1,7510,7650.1,7747.4,7842,8025.8,8208.4,8443.5,8567.1,8670,8828.1,8927.3,9091.1,9226.8,9416.5,9562.1,9662.7,9758.3,9934.7,10109
1049,1810.9,2011.8,2238.6,2376.1,2474.3,2562.6,2798.7,2948.2,3128.8,3242.3,3369.8,3666.9,3868.3,4040.5,4228,4360.5,4453.1,4540.6,4756.3,4899.5,5076.2,5185.4,5315,5470,5598.4,5762.9,5900.9,5997.1,6085.3,6303.6,6447.5,6634.4,6744.1,6880.6,7002,7133.5,7293.8,7425.7,7588.8,7724.6,7824,7910.6,8134.7,8301.6,8507.1,8626.6,8758.5,8883,9012.5,9165.2,9300.3,9502.4,9642.2,9741.2,9830.7,10050,10208
