r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1616.6,1824,1961.9,2059.1,2142.8,2336,2510.3,2719,2844.8,2945.9,3104.6,3234.4,3391.2,3531.9,3627.8,3724.4,3898.6,4071.7,4290.3,4413.2,4518.5,4688.5,4787.8,4961.5,5095.1,5261.1,5403.3,5511.4,5609
1683.3,1894.2,2029.5,2129.4,2213,2437.6,2596.4,2782.6,2892.7,3024.7,3175.2,3299.6,3462.4,3603.3,3698.8,3787.7,4004.9,4159.6,4352.6,4466.8,4605.6,4736.8,4861,5030.4,5161.3,5336.7,5482,5584.3,5666.2
