r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,w
1285.1,1605.9,1769.6,1984.8,2120.1,2221.5,2317.9,2502,2677.6,2891.3,3021.4,3127.9,3293.8,3429.2,3586,3726.8,3827.5,3921.9,4102.5,4275.7,4488.9,4617.6,4726,4893.2,5029,5189.5,5331.9,5431.6,5527.4,5705.7,5876.3,6090,6212.7,6321,6474.8,6577.8,6742.9,6879.9,7047.9,7187.7,7287.3,7381,7562.8,7740.3,7958.1,8083.7,8188.6,8347.1,8447.1,8634,8768.1,8932.6,9070.6,9169.7,9269.4,9446.2,9626.3,9837.6,9966.9,10072,10226,10327,10491,10628,10797,10946,11045,11145,11335,11511,11735,11891,12001,12159,12261,12444,12578,12746,12889,12992,13089,13263,13445,13651,13845,13932,14029,14244,14430
1360.6,1642.8,1840.8,2057,2192.5,2291.5,2375.8,2605,2761.4,2956,3071.1,3207.7,3367.7,3488.9,3663.4,3799.9,3904,3982,4208,4364.2,4558.9,4669.5,4802.3,4965.7,5096,5270.6,5404.7,5505.2,5589.4,5823.4,5964.1,6156.8,6263.8,6400.6,6524.2,6655.8,6819.8,6946.3,7125.9,7263.3,7365.9,7449.2,7674.8,7829.5,8027.4,8136.6,8273.5,8392.7,8537,8708.9,8836.3,9007.8,9142.9,9248.9,9333.1,9562.4,9718.8,9906.5,10021,10158,10284,10408,10572,10699,10884,11018,11124,11215,11442,11597,11808,11953,12084,12215,12344,12519,12647,12821,12963,13071,13157,13375,13535,13728,13904,14014,14100,14348,14478
