u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1317.8,1476.5,1631.2,1800.3,1989.6,2243.5,2390.1,2490.2,2587.5,2763.1,2939.9,3144.3,3265.5,3372.2,3533.8,3670.1,3824.6,3961.8,4064,4160.9,4330.4,4509.3,4715.3,4836.2,4939.7,5094.1,5194.4,5363.4,5494,5651.5,5798,5903,5998.2,6167.4,6339.9,6560,6677.4,6781.6,6930.9,7034.6,7197.4,7330.6,7483.4,7623.5,7722.4,7814,7988.1,8162.5,8373.8,8503.1,8609.1,8765.3,8868.1,9040.9,9170,9330.7,9472.4,9576,9671.1,9841,10015,10231,10351,10454,10609,10712,10894,11027,11191,11338,11436,11528,11713,11893,12111,12236,12344,12498,12603,12780,12912,13076,13223,13324,13419,13593,13786
1355,1526.4,1679.2,1860,2082.2,2322.2,2464.5,2567.7,2657.8,2882.9,3036.4,3209.7,3334.7,3457.9,3610.7,3757.7,3906.7,4038.8,4142.6,4230.2,4455.6,4609.5,4782.2,4900.2,5027.8,5153,5286.2,5440.5,5580.4,5735,5876.2,5975.7,6073.2,6295,6440.7,6628.6,6745.2,6876.4,6995.2,7125.1,7274,7416.7,7565.8,7698.3,7798.4,7889.8,8114.1,8263.7,8445.9,8567.4,8698.8,8830,8964.6,9119.5,9249.7,9413.7,9552.7,9655.5,9754.2,9964.3,10119,10299,10418,10551,10666,10805,10972,11111,11280,11414,11511,11605,11836,11987,12183,12304,12431,12563,12698,12858,12999,13161,13302,13402,13489,13715,13831
