r,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1324.7,1764.9,1967.2,2112.9,2218.1,2311,2483.8,2662.3,2880.5,3008.7,3116,3276.1,3393.4,3559,3694.6,3857.8,3993.5,4098.2,4197.2,4376.9,4557.5,4774.5,4897.9,5005,5199.4,5301.4,5473.1,5602.9,5760.2,5903.7,6003.8,6100.6,6291,6468.8,6676,6885.6,6972.3,7071.6,7258.6,7436.3,7648.5,7769,7873.6,8022.9,8124.6,8276.5,8380.6,8548.3,8684.3,8843.9,8979.9,9081.3,9176.8,9344.1,9522.8,9739.3,9864.1,9969.9,10121,10227,10403,10534,10691,10834,10935,11029
1394.3,1834.3,2040.8,2183.6,2286.8,2373.7,2591.8,2749,2941.7,3054.7,3194.3,3326.7,3473.4,3631.9,3760.9,3932.7,4070.4,4173.4,4262.2,4491.3,4646.3,4833,4949.3,5081.6,5247.8,5378.6,5540.4,5672.2,5838.7,5975.1,6082.6,6168.6,6409.7,6560.6,6754.9,6942.4,7050.3,7136.7,7377,7527,7709.5,7820.3,7944.1,8071.9,8204.2,8329.1,8458.7,8621.7,8756.9,8924.2,9055.6,9155.1,9245.8,9456.1,9615.6,9801.2,9916.6,10060,10177,10310,10474,10604,10773,10909,11012,11100
