u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1373.8,1510.1,1653.2,1817.2,1989.2,2200.9,2342.6,2441.2,2535,2703.6,2877.2,3081.9,3204.4,3307,3471.2,3598.7,3758,3902.3,4004.4,4101,4270.4,4448.6,4660.5,4781.1,4884.9,5040.2,5139.3,5313.5,5444.2,5605.3,5743.8,5843.5,5940.4,6123.9,6296.4,6491.5,6677.7,6768,6867.1,7056.3,7239,7455.4,7580.5,7685,7844,7946.7,8107.3,8238,8399.9,8540.8,8641.7,8739.6,8918.4,9093.6,9301.4,9503.4,9582.7,9681.7,9865.3,10058,10262,10460,10552,10646,10826,11013,11230,11353,11460,11643,11782,11944,12085,12183,12278,12470,12655,12881,13005,13109,13272,13373,13538,13678,13855,13998,14104,14202,14386,14572,14788,14893,15105,15205,15301,15504,15688,15917,16050,16156,16335,16438,16636,16776,16947,17101,17203,17302,17504,17699,17910,18131,18220,18315,18490,18683,18908,19039,19145,19310,19413,19611,19765,19944,20088,20187,20283,20469,20658,20903,21039,21146,21350,21492,21667,21814,21919,22016
1417.5,1564.6,1704,1872.6,2073.3,2279.7,2415.9,2515.7,2607.2,2825,2960.7,3148.4,3261.4,3398.3,3545.3,3673.8,3842,3978,4080.8,4171.2,4392.9,4543.5,4728.7,4836,4973.1,5097.7,5230.9,5388.5,5517.2,5685.1,5816.6,5917.4,6007.4,6244.5,6363.1,6576.7,6744.1,6846.8,6934.1,7176.6,7337.5,7522.3,7637.9,7778.1,7901.2,8037.1,8182.3,8309.6,8480.8,8619.8,8722.8,8811.1,9042.8,9188.1,9391.3,9556,9664.1,9751,9992.6,10158,10354,10525,10630,10727,10955,11109,11300,11413,11560,11724,11859,12027,12160,12259,12351,12589,12757,12952,13066,13195,13322,13463,13617,13756,13933,14078,14183,14279,14506,14634,14848,14978,15180,15283,15371,15622,15784,15991,16110,16249,16397,16532,16711,16850,17026,17176,17281,17372,17617,17788,17993,18195,18296,18393,18617,18779,18980,19095,19236,19372,19509,19692,19840,20027,20162,20266,20357,20589,20760,20972,21097,21238,21425,21568,21749,21891,21998,22086
