u,u,u,u,r,u,r,n,n,a,b,l,t,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1320.5,1473.9,1633.6,1819.8,1987.1,2307.7,2459.5,2676.9,2821.4,2922.8,3017.7,3218,3403.9,3616.3,3741,3847.8,4018.4,4150.4,4318.2,4457.7,4561,4657.4,4830.3,5005.4,5219.3,5345.7,5451,5618.8,5751.4,5907.8,6051,6153,6250.7,6426.2,6602,6798.8,6995.7,7082.1,7176.4,7357.6,7538.9,7749.8,7865.4,7967.6,8114.2,8216.7,8379.8,8511.3,8670.2,8810.9,8908.7,9002.7,9171.9,9345.5,9575.3,9696.5,9800,9981.6,10110,10273,10414,10515,10611,10792,10967,11171,11334,11441,11590,11692,11867,12004,12172,12315,12409,12506,12676,12863
1373.1,1528.9,1688.4,1865.7,2078.3,2355.9,2553.8,2751.3,2892.1,2997.5,3086.6,3333.8,3453.7,3676.3,3796.7,3937.1,4092.8,4223,4392.4,4533.3,4637.7,4725.2,4949.3,5105.1,5283.8,5401,5531.8,5687.6,5821.2,5992.5,6127.8,6228.5,6317.1,6547.1,6694.1,6877.8,7054.8,7158.6,7245,7480.1,7633.7,7818.1,7922.4,8058,8172.3,8299.3,8456.5,8583.2,8750.2,8886,8986.8,9073.4,9295.5,9441.7,9639.9,9754.5,9898.1,10053,10188,10354,10490,10591,10679,10914,11056,11242,11393,11531,11646,11786,11941,12079,12254,12387,12483,12579,12805,12958
