n,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
1070.5,1210.3,1602.5,1742.1,1950.8,2089.8,2189.8,2287.4,2463.8,2637.7,2847,2969.5,3075.2,3237.6,3373.2,3535.2,3671.2,3771.7,3870.3,4040.3,4222.9,4441,4559.7,4662.4,4848.6,4985.3,5156.5,5297.3,5399.8,5498.6,5681.9,5855.8,6069.6,6189.1,6295,6473.6,6615.6,6773.1,6917.8,7022.6,7122.9,7295.9,7476,7694.9,7814.3,7919.2,8089.4,8231.5,8399.3,8540.2,8639.6,8737.5,8924.9,9098.3,9299.9,9501.2,9595.7,9693.3,9867.6,10051,10270,10391,10497,10659,10758,10932,11064,11235,11374,11476,11574,11750,11928,12150,12275,12380,12546,12651,12830,12969,13138,13285,13386,13484,13683,13866,14095,14224,14334,14502,14613
1144.4,1247.4,1636.3,1817,2022.7,2162,2259.8,2347.7,2571.1,2726.2,2912.7,3019.1,3152.7,3311.7,3437.2,3613.8,3743.1,3842.2,3931.4,4151.7,4315.8,4501.2,4606.6,4744,4927.2,5055,5236,5375,5476.7,5567.4,5795.1,5944.4,6136.5,6244.1,6377.4,6539,6688.3,6857.6,6994.9,7097.2,7184.1,7410.8,7562.5,7764.1,7869.7,8003.6,8168.6,8299.5,8484.2,8617.8,8713.8,8803.3,9033.7,9192.9,9371,9566.2,9674.6,9761,9976.8,10142,10334,10441,10574,10713,10837,11009,11138,11319,11455,11553,11638,11864,12018,12219,12333,12465,12600,12733,12905,13040,13222,13367,13466,13551,13787,13961,14162,14278,14416,14556,14696
