u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1587.6,1729.7,1953.6,2102.4,2206.8,2299.1,2489.2,2668,2862.1,2992.6,3096.9,3271.8,3407.5,3579.9,3721.3,3820.2,3915.1,4095.6,4270.4,4480,4602.5,4708.9,4877.3,5014.3,5176.1,5322,5423.5,5519.2,5696.8,5862.5,6069,6189,6293.4,6460.6,6589.8,6747.2,6885.5,6989.8,7085.8,7265.9,7435.1,7637.1,7828.1,7917.2,8012.2,8194.3,8373.1,8573.2,8771.6,8862.4,8958.3,9130.6,9309.8,9511.2,9628.7,9732.4,9884.3,9983.2,10133,10233,10399,10530,10693,10834,10929,11027,11211,11384,11598,11715,11820,11970,12072,12242,12373,12538,12680,12780,12876,13057,13238,13438,13639,13726,13823,13988,14166,14380,14506,14613,14760,14860,15041,15178,15332,15472,15571,15666,15851,16035,16257,16386,16494,16651,16756,16931,17073,17236,17379,17477,17572,17754,17944,18166,18402,18477,18571,18751,18933,19135,19356,19455,19553,19735,19914,20137,20259,20367,20518,20620,20800,20941,21098,21241,21341,21439,21618,21810,22055,22185,22291,22454,22559,22722,22826,23002,23143,23325,23473,23575,23672,23858,24043,24268,24412,24521,24682,24786,24976,25116,25293,25447,25550,25645,25836,26021
1621.9,1802.9,2020.4,2170.7,2280.3,2365.8,2582.3,2715.7,2918.4,3043.7,3183.6,3339.4,3477,3658.1,3795.8,3895.6,3982.1,4205.9,4359.7,4542.6,4658.2,4789.9,4949.8,5083.7,5257.1,5397.7,5499.1,5587.3,5808.8,5954.6,6136.7,6240.7,6379.5,6533.2,6663,6824.3,6961.9,7065,7149.5,7378,7524.7,7711.6,7893.8,7996.2,8081.2,8309.2,8462,8650.5,8835.4,8945.1,9024.5,9249.2,9394.2,9577.1,9684.6,9813.1,9938.3,10071,10190,10319,10473,10607,10777,10907,11005,11093,11324,11476,11662,11772,11899,12024,12158,12316,12444,12624,12758,12858,12946,13168,13326,13519,13697,13802,13896,14106,14267,14450,14562,14690,14815,14951,15114,15252,15416,15549,15651,15733,15969,16129,16325,16446,16577,16705,16833,17008,17148,17315,17454,17555,17642,17868,18036,18242,18448,18555,18640,18867,19026,19217,19429,19535,19623,19840,20009,20208,20318,20453,20576,20706,20879,21012,21180,21317,21420,21507,21733,21903,22125,22243,22378,22513,22649,22780,22902,23081,23216,23410,23553,23655,23742,23974,24130,24340,24472,24609,24740,24865,25047,25188,25376,25522,25630,25715,25947,26112
