u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,n,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1591.4,1753,1979.1,2126,2224,2320.1,2498.5,2679.2,2890.3,3017.8,3123.8,3302.2,3442,3593.1,3743.1,3842.9,3941,4121.3,4301.7,4515.4,4639.7,4745.1,4897.5,5000.3,5166.9,5300.7,5461.5,5600.8,5700.9,5797.3,5967.3,6140.5,6355.6,6482.7,6586.6,6745.5,6846.9,7014.3,7156.8,7348.9,7493.8,7597.9,7691.9,7872.9,8043.5,8261.6,8381.1,8593,8674.6,8772.7,8946.7,9129,9346,9470,9573.7,9723,9824.9,9984.4,10084,10255,10384,10542,10686,10783,10877,11055,11239,11451,11579,11684,11834,11933,12080,12182,12355,12491,12652,12803,12902,12999,13181,13359,13575,13705,13810,13959,14062,14274,14407,14576,14729,14827,14922,15125,15308,15532,15666,15772,15929,16032,16191,16294,16480,16614,16784,16927,17033,17128
1624.8,1835.8,2052.3,2195.6,2296.9,2380.4,2609.5,2768.3,2953.5,3076.4,3212.4,3375.2,3510,3673.4,3816.5,3920.6,4004.3,4232.7,4393.8,4580,4697.1,4824.9,4953.5,5077,5239.6,5373.9,5538.8,5679.1,5775.6,5867.2,6085.9,6231,6417.2,6535.8,6672.4,6798.3,6929.5,7084.8,7231.6,7434.4,7576.1,7676.2,7754.9,7982.3,8135.2,8319,8458,8648.6,8758.7,8837.6,9065.5,9220.5,9409.5,9525.6,9658.5,9771.3,9897.7,10040,10168,10330,10454,10623,10763,10859,10942,11170,11331,11518,11637,11761,11889,12016,12140,12271,12429,12561,12732,12876,12982,13065,13293,13450,13642,13763,13890,14017,14146,14345,14482,14661,14803,14902,14990,15242,15401,15601,15722,15858,15986,16115,16251,16378,16554,16688,16867,17010,17111,17194
