u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1144.6,1283.7,1447.7,1627,1818.5,1988.3,2206.8,2354.4,2465.5,2557.6,2738.7,2918.2,3134.9,3270.7,3378.5,3545.3,3678.1,3853.3,3991.1,4091.7,4184.7,4363.1,4549.1,4763.2,4890.9,4999.8,5168.1,5302.3,5467.1,5611.6,5712.7,5809,5992.9,6174.7,6388,6510.2,6615.1,6779.3,6882.4,7061.6,7211.7,7384.1,7527.1,7629,7725.5,7908.2,8091.5,8304.9,8431.9,8536.2,8684.3,8786.2,8962.2,9107.5,9292.7,9438,9540.1,9635.2,9839,10018,10237,10367,10471,10625,10728,10898,11031,11190,11332,11432,11531,11708,11886,12102,12231,12339,12491,12592,12773,12904,13083,13222,13319,13416,13596,13778,13998,14124,14232,14391,14490,14662,14800,14968,15115,15216,15312,15518,15701,15932,16073,16179,16332,16434,16607,16752,16927,17072,17176,17275,17446,17636,17873,18019,18125,18276,18385,18569,18710,18882,19032,19136,19233,19414,19606,19846,19985,20092,20262,20366,20543
1183.1,1337.8,1502.6,1672.6,1875.9,2080.8,2285.7,2430.6,2540.7,2631.8,2853.6,3013.6,3203.2,3323.8,3467.9,3619.3,3760.1,3928.3,4066.7,4167.7,4259.4,4488.4,4646.1,4829.7,4951.2,5090.8,5244,5375.2,5548.7,5687.2,5790.7,5875.7,6115.9,6268.3,6453.6,6567.7,6708.1,6834.5,6973.1,7139.3,7288.4,7467.4,7603.7,7704.5,7794.7,8032.7,8188.7,8371.3,8492.6,8627.4,8743.2,8879.6,9034.8,9190.6,9373.9,9513.1,9618.5,9712.5,9965.8,10121,10311,10435,10566,10682,10820,10976,11112,11276,11410,11513,11604,11833,11980,12173,12293,12425,12548,12684,12849,12978,13168,13297,13397,13490,13727,13874,14068,14187,14322,14452,14577,14744,14871,15054,15193,15293,15382,15642,15797,16003,16130,16267,16390,16525,16690,16835,17008,17153,17258,17350,17567,17732,17945,18079,18216,18338,18476,18650,18790,18964,19108,19215,19306,19527,19704,19917,20046,20182,20322,20460,20623
