u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,l,u,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1470.8,1618.2,1756.1,1977,2115.2,2213.4,2308.5,2482.2,2649.1,2856.5,2975.8,3079.8,3247.2,3372.6,3526.6,3660.9,3762.6,3857.4,4028.2,4204.8,4416.8,4539.9,4642,4807.5,4938.2,5095,5233.5,5334.3,5429.6,5599.2,5772.1,5978.6,6097.2,6202.6,6346.2,6445.6,6602.8,6733.2,6894.9,7030.4,7133.5,7227.2,7404.4,7582.8,7774.6,7974.5,8058,8153.2,8336.7,8513.8,8861.8,9039.8,9170.7,9354.4,9488.1,9586.4,9679.5,9853.6,10027,10227,10424,10510,10605,10790,10968,11175,11297,11400,11551,11653,11831,11962,12122,12262,12359,12453
1504.8,1659.2,1838.9,2044.4,2184,2282.8,2365.4,2581.6,2738.7,2919.5,3024.8,3165,3315.8,3446.4,3605,3739.6,3837.1,3924.6,4145,4293.8,4482.7,4593.1,4729.6,4878.1,5005.1,5173.8,5307.2,5409,5498.4,5713.9,5860,6048.5,6151.4,6287.9,6397.9,6527.3,6676.1,6802.9,6975.1,7109.3,7209.5,7294,7526,7674,7846.5,8034.4,8135.9,8224.3,8453.2,8568.7,8905.5,9106.3,9257.2,9433.9,9563.5,9667.9,9748.2,9974.2,10120,10303,10487,10585,10678,10912,11065,11246,11348,11487,11604,11741,11905,12042,12203,12339,12435,12521
