u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1632.2,1812.4,1966.5,2181.5,2311.4,2410,2499.1,2673.6,2847.2,3049.5,3175.7,3275.7,3433,3566.7,3727.1,3860.8,3957.3,4050.7,4220.1,4386.7,4589.1,4706.5,4805.8,4951.9,5049.5,5216,5339.5,5497,5630.8,5727.9,5818.2,5991.7,6163,6370.5,6498.2,6600.8,6751.8,6850.1,7015.5,7140.9,7289.7,7426.9,7523.7,7618.2,7790.5,7958.4,8167,8286.2,8389,8537.3,8637.6,8803.9,8932.3,9091.6,9226.7,9324.2,9417.8,9586.1,9762.5,9968.8,10093,10196,10345,10446,10617,10752,10918,11058,11155,11249,11427,11601,11813,11938,12047,12208,12311,12488,12616,12786,12928,13029,13126,13300,13475,13690,13888,13974,14069,14254,14432,14658,14787,14891,15044,15146,15324,15458,15635,15778,15876,15970,16152,16331,16546,16681,16790,16945,17046,17219,17354,17539,17686,17786,17885,18080,18266,18484,18617,18725,18881,18984,19165,19300,19468,19616,19716,19811,19990,20170,20396,20535,20643,20810,20920,21096,21238,21406,21548,21648,21743,21934,22118
1664.3,1849.8,2041.6,2250.6,2382.4,2476.3,2560.8,2785.4,2937.5,3106.4,3230.8,3360.8,3500.1,3637.3,3802.8,3935,4033.1,4115.9,4331.3,4479.5,4649.5,4761.2,4884,5006.7,5140.2,5287.2,5414.3,5569.7,5703.7,5803.6,5887.6,6102.8,6251.6,6434,6557.2,6678.3,6803.8,6934.4,7091.3,7210.6,7370.9,7500.1,7600.7,7687.4,7908.5,8056.2,8233.3,8346.2,8476.6,8594.5,8714,8870.3,9009.8,9169.4,9302.6,9397.3,9482.2,9706.2,9855.1,10032,10151,10274,10404,10528,10689,10825,11000,11131,11234,11318,11545,11693,11875,11997,12126,12267,12390,12558,12690,12863,13004,13106,13193,13410,13571,13769,13950,14056,14133,14369,14524,14721,14840,14975,15106,15229,15399,15534,15715,15852,15956,16041,16267,16425,16616,16739,16876,17002,17130,17296,17425,17623,17762,17869,17953,18189,18362,18549,18679,18804,18938,19073,19238,19374,19552,19690,19795,19884,20095,20264,20464,20595,20726,20869,21006,21171,21312,21479,21624,21727,21812,22047,22160
