l,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1309.8,1476.1,1631.9,1767.4,1979.6,2116.1,2213.8,2307.1,2482.3,2654.5,2855.5,2978,3081.6,3247.9,3377.7,3533.1,3666.7,3767.9,3862.4,4031,4208.1,4405.9,4604.2,4682.3,4776.9,4948.1,5133.5,5341.9,5453.7,5560.7,5706.8,5805.9,5964,6096.9,6251.8,6391.1,6486.8,6580.6,6758.1,6931.7,7143.5,7268.2,7373.2,7518.3,7617.8,7771.2,7870.2,8041.6,8167,8329.7,8465.2,8566.4,8657.9,8833.6,9005.8,9203.7,9401.8,9484.3,9580.2,9754.8,9931.5,10130,10340,10487,10589,10684,10851,11032,11248,11370,11472,11614,11714,11877,12004,12183,12328,12430,12523,12700,12882,13107,13226,13331,13485,13585,13768,13913,14084,14224,14324,14417,14603,14790,14984
1398.3,1529.7,1680.6,1844.7,2051,2186.2,2288.2,2371.2,2600.1,2743.7,2920.2,3032.2,3171.2,3328.3,3457.4,3613.1,3743.4,3842.6,3930.2,4153,4305.1,4476.7,4651.1,4758.2,4845.8,5087.8,5223.5,5404,5514.5,5652.2,5760.3,5901.2,6040.9,6172.7,6331.5,6461.4,6562.9,6650.3,6882.5,7025.6,7211.1,7326.5,7470.3,7575.9,7710.1,7828.4,7965.3,8112.8,8241.5,8410.8,8542.2,8643.3,8735.2,8953.6,9104,9290.9,9458.8,9562.9,9658.7,9879.8,9994.1,10200,10426,10564,10665,10759,10973,11125,11315,11430,11563,11672,11801,11953,12078,12269,12408,12506,12595,12818,12956,13179,13286,13423,13542,13678,13842,13992,14168,14295,14402,14494,14729,14873,15069
