r,n,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,d,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1338.3,1560.6,1706.5,1854.6,1969.2,2066.4,2241.8,2417,2613.3,2744.6,2853.9,3040.1,3177.7,3351.2,3491.3,3592.8,3691,3879.8,4061.4,4285.8,4414,4521.2,4683.1,4784,4994.4,5126.3,5292,5437.5,5537.7,5634.8,5822,5999,6216.1,6347.8,6455.9,6608.5,6712.3,6885.7,7055.7,7179.9,7321.7,7418.8,7514.4,7686.3,7865.8,8065.3,8270,8353.2,8453.1,8632.5,8811.5,9039.2,9167.9,9275,9440.1,9542.6,9715.9,9845.7,9997.1,10140,10240,10337,10513,10698,10930,11050,11157,11319,11421,11599,11737,11905,12047,12149,12247,12427,12612,12835
1404.2,1612.6,1773.3,1909,2037.9,2124.2,2339.6,2466.6,2670.3,2794.7,2930.8,3111.3,3243.4,3426.7,3565.2,3665.9,3756.2,3990.1,4153.2,4347.7,4465.6,4601.6,4734.6,4866.1,5062.9,5193.5,5368.2,5508.1,5614.3,5701.6,5933.2,6086.8,6286.9,6400.5,6538.9,6658.8,6795.3,6959.9,7086.3,7260.7,7394.2,7496.9,7580.3,7799.2,7950,8136.6,8322.1,8426.2,8516.9,8749.1,8901.3,9106.2,9220.6,9354.2,9491.8,9623.5,9790.1,9916.4,10080,10217,10319,10407,10632,10791,10997,11103,11239,11372,11498,11672,11809,11988,12128,12224,12315,12543,12706,12897
