u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x
1161.6,1319.7,1490.7,1657,1830.5,1984.3,2220.9,2372.2,2472,2569.4,2751.6,2930.4,3142.5,3267.3,3372.1,3547.2,3683.6,3848.5,3990,4090.9,4186.9,4360.1,4540.7,4759.4,4886.8,4991.4,5166.4,5296.6,5459.8,5598.6,5697.8,5794.8,5974.1,6143.8,6363.2,6482.1,6588.8,6770.2,6898.8,7065.5,7206,7311.8,7405.5,7602.4,7781.8,7998.7,8116.7,8225,8376.5,8475.5,8646,8775.8,8946.1,9095.2,9202.6,9296.6,9496.7,9676.5,9897.1,10019,10126,10281,10384,10556,10687,10866,11010,11113,11212,11399,11582,11801,12000,12082,12184,12364,12556,12777,12898,13006
1201.5,1366.3,1535.1,1709.6,1886.8,2085,2299.7,2448,2544.2,2635.2,2867.3,3021.1,3203.3,3327,3459.8,3617.1,3763.2,3932.7,4069.5,4169.2,4260.3,4480.8,4634.4,4822.5,4943.6,5082.4,5238.2,5369.6,5545.1,5674.5,5772.5,5863.4,6089.7,6243.6,6428.8,6539.4,6678.5,6842.1,6981.7,7151.6,7285.9,7389.1,7476.7,7725.8,7876.5,8069,8178.4,8314.1,8435.7,8566.4,8721.2,8851.4,9031.3,9174.3,9280.7,9374.8,9620.7,9772.5,9967.3,10083,10217,10342,10474,10633,10772,10950,11089,11191,11284,11519,11678,11882,12059,12163,12251,12493,12658,12844,12961,13094
