u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1311.8,1471.2,1643.2,1813.4,1971.2,2461.2,2605.2,2813.2,2952.9,3049.6,3143.3,3325.2,3498.4,3710,3830.4,3934.5,4096.2,4227.6,4397.4,4534,4632.1,4724.3,4901.3,5076.8,5287.2,5411.3,5516.8,5673,5774.5,5944.7,6075.2,6230,6369.3,6468.8,6563.2,6729.4,6907,7114.1,7304.7,7390.4,7489.1,7678.2,7855.7,8066.5,8183.1,8285.2,8428,8528.9,8694.2,8821.9,8975.1,9116.8,9216.7,9311,9486,9654.2,9853.8,10071,10150,10242,10411,10592,10808,10927,11032,11182,11282,11463,11596,11753,11893,11990,12084,12263,12439,12649,12858,12942,13040
1358.5,1516.7,1683.1,1854.8,2039.2,2508.1,2672,2882.2,3022.6,3118.6,3206.8,3430.3,3586.8,3767.3,3884.1,4016.7,4161.3,4292.2,4478.4,4602.6,4704.1,4790.8,5010.9,5160.6,5347.5,5463.7,5605.4,5724.7,5858.4,6015.8,6144.7,6307.6,6441.2,6541.8,6628.5,6840.4,6992.2,7177.4,7359.8,7470.5,7552.7,7796.2,7946.9,8128.8,8235.2,8365.8,8481.2,8615.2,8766.8,8891.8,9056.8,9192.3,9286.8,9377.7,9602.5,9742.5,9929.4,10121,10230,10309,10535,10681,10872,10979,11118,11237,11366,11541,11670,11839,11970,12067,12154,12379,12526,12727,12918,13024,13106
