u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e
1596.7,1761,1974.3,2112.7,2215.5,2311.1,2493.3,2672.7,2885,3017.4,3127.1,3295.4,3421.8,3586.8,3723.4,3822.8,3917.8,4091.1,4267.7,4489.6,4610.5,4717,4889.6,5024.8,5186.5,5330.4,5428.4,5523.7,5700.3,5874.1
1629.9,1828.9,2043.8,2186.8,2284.6,2367.9,2604.4,2754.8,2947.2,3071.3,3200.9,3362.8,3486.2,3646,3795.2,3893.5,3978.6,4195.2,4351.4,4550.3,4659.6,4796.8,4959.8,5091.7,5257.2,5401.9,5502.3,5583.9,5794.6,5964.8
