u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,r,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r
1636.8,1811.1,1967.5,2196.4,2337.6,2437.8,2528,2708.5,2884.6,3096.9,3223.3,3323.6,3483.8,3611.6,3766.4,3902.1,4000.8,4092.2,4271.3,4443.1,4649.2,4766.2,4868,5015.8,5114.3,5283.7,5410.6,5564.1,5697.2,5794.4,5889,6061.4,6235.8,6430.1,6631.7,6712,6802.8,6973.7,7150.1,7370.7,7492,7592.2,7735.8,7837.7,8005.4,8132.8,8282.3,8423.5,8522.7,8614.8,8787,8964.1,9176.7,9382.4,9462.5,9555.3,9729.1,9904.6,10117,10318,10397,10492,10657,10850,11018,11135,11238,11380,11479,11658,11796,11958,12100,12201,12297,12475,12653,12872,13005,13107,13261,13361,13550,13684,13842,13995,14093,14189,14376,14564,14754,14884,14985,15148,15246,15422,15524,15704,15836
1685.3,1854.2,2056.4,2266.1,2411.5,2508.3,2591.6,2816.7,2976.4,3156.4,3281.4,3410,3552.5,3687,3842.8,3978.5,4076.4,4160.5,4388.9,4541.2,4716.5,4821,4953.2,5070.3,5194,5354.3,5484.5,5642.4,5771.6,5869.1,5958,6180.1,6326.3,6504.8,6682.6,6787.5,6873.9,7094.8,7241.3,7436.7,7547.2,7678.7,7798.5,7924.8,8082.7,8207.7,8363.7,8495.6,8597.8,8683.4,8908.4,9061.5,9264.7,9433.5,9540.6,9631.6,9848.3,10003,10206,10370,10480,10564,10777,10894,11086,11195,11314,11437,11572,11736,11883,12044,12178,12277,12367,12596,12748,12943,13062,13202,13318,13449,13625,13757,13925,14071,14170,14264,14495,14622,14825,14942,15081,15205,15337,15485,15610,15781,15916
