u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1679.3,1818.2,1967.6,2175.8,2315.7,2417.7,2512,2680.9,2852.8,3050.8,3178.3,3283.3,3426.9,3527.2,3684.1,3808.3,3964.7,4103.7,4202.1,4300.2,4469.6,4646.5,4869.7,5005.4,5194,5280.1,5377,5548.7,5721,5913.2,6113.4,6212.4,6308.8,6476,6649.1,6851.9,6976,7078.1,7226.6,7326,7500.2,7630,7794.6,7934,8031.8,8128.2,8305,8484.8,8702.4,8824.9,8926.9,9075.2,9175.6,9328.6,9432.3,9605.4,9752.8,9924.1,10070,10165,10263,10436,10617,10829,10951,11056,11216,11318,11494,11633,11804,11952,12048,12143,12346
1720.7,1868.5,2049.2,2249.8,2394.2,2491.6,2576.8,2794.8,2941.6,3117.8,3235.8,3365.2,3478.8,3599,3755.5,3883.4,4049.2,4180.3,4281.5,4367.5,4581.3,4741.6,4936.4,5073.2,5250.5,5359.3,5448,5665.8,5808.4,5998.2,6189.5,6291.9,6375.8,6597.3,6743.7,6924.3,7030.7,7161.7,7277.1,7405.7,7572.9,7701.6,7877.9,8011,8112.4,8197.1,8420.4,8551.8,8774.3,8876.4,9006.7,9132.6,9257.9,9383.5,9516.6,9678.6,9827.6,10012,10145,10245,10333,10555,10719,10895,11009,11143,11271,11401,11570,11706,11889,12028,12125,12212,12453
