l,r,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r
1988.5,2031.5,3934,4061.7,4207.8,4375.3,4520.4,4759.2,4899.3,5001.5,5097.8,5288.4,5469.7,5671,5798.9,5901.2,6075.6,6204.3,6364.1,6507.1,6607.3,6703,6877.4,7055.6,7276.2,7402.6,7508.7,7663.7,7763,7922.5,8059.8,8222.7,8368.6,8465.2,8557.5,8730.8,8914.4,9093.8,9216.5,9323.2,9490.4,9591,9763.9,9892.6,10052,10191,10283,10379,10551,10731,10944,11068,11173,11335,11435,11608,11741,11902,12050,12149,12245,12427,12600,12808,12995,13077,13174,13357,13537,13750,13869,13973,14122,14225,14390,14491,14674,14803,14967,15104,15205,15303,15481,15664,15904
2025,2081.6,3979.5,4119.7,4261.5,4422.2,4608,4842.9,4975.6,5078.7,5169.9,5409.7,5560.1,5741.9,5854.4,5990.8,6149.8,6285.4,6449.9,6584.9,6682.1,6772,7006.4,7152.3,7344.2,7462.8,7600.5,7727.5,7854.1,7992.1,8141.1,8308.8,8444.3,8539.8,8633.1,8852.8,8961.6,9164.3,9277.4,9416.6,9553.5,9680.9,9840.7,9980.4,10134,10262,10362,10453,10674,10835,11016,11137,11267,11401,11529,11687,11827,11984,12125,12224,12318,12547,12703,12893,13056,13160,13250,13483,13633,13822,13931,14063,14182,14319,14455,14587,14748,14878,15052,15185,15281,15379,15604,15760,15936
