u,u,r,n,n,a,b,l,e,r
1468,1655.4,1790.8,1989.8,2125.6,2224,2315.3,2484.6,2654.7,2847.9
1507,1702.8,1877.9,2062,2196.4,2292.5,2374.8,2600.6,2742.4,2925.9
