r,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,r,n,a,b,l,e,s,d,x,d,x,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1373.5,1784,1983.2,2121.7,2225.3,2323.3,2506.2,2678.7,2884.1,3011.2,3117.7,3302.2,3435.7,3608.1,3749.2,3846.3,3943,4131,4305.5,4523.8,4718.6,4794.9,4890.2,5071.4,5250.2,5453.8,5573,5677.4,5831.9,5934.7,6104.2,6231.2,6387.2,6523.1,6617.1,6714.1,6878.5,7056.1,7264.9,7384.5,7482.6,7632.8,7731.8,7896.4,8025.8,8185,8323,8418.8,8513.6,8687.5,8858.2,9061.7,9183.6,9288.7,9443.4,9543.3,9711.5,9872.1,10031,10174,10270,10364,10546,10719,10932,11059,11164,11310,11408,11580,11712,11877,12023,12119,12216,12393,12576,12776,12977,13056,13151,13337,13522,13740,13865,13967,14120,14217,14376,14480,14647,14784,14942,15088,15186,15282,15467,15652,15880,16020,16247,16329,16430,16605,16787,17008,17239,17329,17423,17622,17811,18028,18154,18258,18411,18510,18692,18840,19049,19150,19251,19446,19632,19850,19975,20077,20245,20345,20529,20664,20832,20978,21075,21171,21357,21542,21747,21989,22075,22177
1429.4,1851.2,2059,2192.7,2297.9,2383.7,2608.8,2761.9,2944.2,3062.9,3195.1,3366.4,3501.7,3696.3,3817.9,3925,4007.6,4234.3,4393.6,4589.7,4763.1,4870.3,4955.3,5178.4,5337.7,5520.1,5624.2,5761.9,5882.5,6017.5,6174.5,6295.9,6468.1,6592.6,6691.3,6775.9,6996.8,7148.1,7331.1,7433.6,7564.9,7684.5,7808.3,7973.1,8093.6,8260.9,8392.5,8494,8573.5,8796.4,8947.5,9130.7,9236.7,9371.5,9494.3,9629.1,9786.5,9938.6,10116,10246,10344,10431,10659,10810,11000,11117,11247,11363,11496,11653,11781,11963,12097,12199,12282,12508,12638,12850,13030,13131,13221,13453,13616,13815,13922,14062,14176,14311,14433,14565,14723,14859,15030,15163,15270,15355,15586,15744,15945,16101,16306,16411,16501,16722,16885,17091,17300,17405,17492,17742,17904,18098,18211,18332,18465,18592,18765,18914,19124,19231,19315,19558,19723,19924,20032,20158,20301,20426,20602,20736,20912,21052,21155,21239,21472,21631,21827,22049,22156,22243
