u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1619.8,1790.5,1959.8,2232.5,2382.5,2606,2744.9,2847.5,2944.1,3128.4,3307.6,3518.1,3649.2,3760,3935.7,4071.1,4236.7,4377.7,4482.3,4578.6,4754.8,4929.8,5146.1,5275.6,5382.9,5547.7,5647.6,5818.1,5954.4,6119.4,6262.1,6363.6,6462.5,6637.6,6815.8,7029.4,7150.9,7254.6,7408.7,7512.3,7694.5,7828.8,7997,8139.5,8236.6,8333.2,8502.8,8680.7,8909.3,9033.5,9141.3,9297.8,9398.7,9574,9720.3,9893.1,10032,10136,10232,10415,10598,10824,10948,11055,11209,11310,11479,11619,11794,11941,12042,12141,12307,12486,12710,12839,12945,13102,13205,13386,13524,13688,13833,13943,14040,14233,14416,14633,14761,14869,15024,15129,15312,15449,15620,15769,15875,15970,16155,16340,16589
1655.9,1830.2,2047.4,2283.5,2466.5,2680.3,2817.2,2924.9,3009.4,3237,3399.4,3586.4,3709.2,3841.9,4011,4137.5,4313.7,4455.5,4555.7,4645.3,4866.9,5023.7,5216.5,5331.1,5468.9,5597.1,5731.3,5891.9,6025.1,6204.7,6340.7,6442.7,6529.2,6760.2,6908.3,7095.2,7210.6,7339.4,7463.4,7598.8,7770.7,7903.3,8081.4,8214.7,8315.9,8404.7,8622.2,8775,8975.3,9095.5,9221.3,9349.6,9482.4,9649.4,9791.3,9962.6,10113,10218,10301,10536,10697,10896,11009,11141,11268,11391,11554,11691,11882,12020,12120,12209,12421,12584,12780,12896,13023,13155,13289,13461,13594,13764,13912,14024,14107,14352,14510,14703,14818,14954,15075,15210,15391,15526,15699,15847,15950,16037,16273,16445,16657
