u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1328.5,1462,1614.2,1793.9,1969.9,2290.4,2431.6,2655.4,2802.2,2901.5,2997.8,3165.8,3337.8,3545.8,3670.2,3774,3944.1,4077.4,4234.8,4376.3,4474.8,4569.1,4741.1,4919.1,5127.1,5251.8,5357.3,5517.5,5620,5796.7,5929.5,6100.3,6243.5,6341.1,6437.6,6613.6,6788.6,6987.4,7090.9,7290.8,7382.4,7481.3,7659.8,7832.4,8051.3,8182.6,8290.8,8446.4,8547.6,8711.9,8843.4,8997.8,9145.5,9253.1,9346.3,9521.8,9698.5,9921.2,10051,10157,10311,10415,10595,10736,10916,11059,11160,11255,11425,11610,11831,11961,12072,12225,12331,12503,12638,12808,12945,13050,13145,13322,13512,13721,13925,14078,14176,14273,14451,14639,14864,14987,15093,15263,15370,15541,15644,15813,15953,16138,16290,16396,16494,16664,16845,17081,17226,17334,17493,17597,17780,17885,18073,18214,18382,18533,18637,18733
1364.3,1507.3,1666.8,1847,2060.8,2337.5,2519.7,2733.4,2877.3,2977.7,3063.7,3273.9,3424.4,3613.5,3726.6,3862.9,4018,4145.6,4318.3,4447.8,4550.1,4634.5,4855.5,5009.8,5196.2,5309.5,5443.5,5572.3,5710.9,5870,6000.7,6184.7,6318.1,6413.6,6506.4,6730.6,6879.4,7049.6,7171.8,7358.6,7462.6,7547,7772.1,7919.6,8117.4,8237.7,8370.6,8503.9,8630.2,8788.5,8918.9,9084.4,9231.1,9331.6,9412.6,9634.8,9789.5,9989.9,10110,10237,10371,10503,10671,10806,10995,11135,11238,11321,11540,11708,11901,12020,12154,12283,12410,12575,12714,12888,13025,13129,13212,13437,13598,13804,14010,14150,14255,14345,14567,14733,14933,15044,15178,15322,15455,15595,15726,15891,16024,16224,16370,16470,16561,16775,16938,17147,17291,17416,17551,17684,17839,17967,18145,18285,18462,18608,18713,18803
