u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,n
1435.2,1570.8,1801.7,1973.7,2321.6,2459.3,2663.7,2800.4,2898.2,2992.7,3168,3344.3,3565.8,3702.9,3814.3,3984.2,4119.9,4282.3,4418.7,4517.9,4611,4787.4,4966.2,5177.5,5377.7,5462.7,5560.9,5732.1,5917.5,6092,6211.7,6315.2,6473.9,6573.4,6742.9,6844.5,7016.9,7144.3,7305.7,7447.4,7549.6,7644.7,7824.4,7998.8,8197.4,8395.3,8476.2,8578.2,8780.4
1469.5,1611.5,1840.8,2049.3,2368.8,2549.8,2739.1,2872.6,2970.6,3054.9,3283.2,3430.5,3630.3,3760.5,3898.9,4054.9,4187.9,4361.7,4495.6,4592.3,4679.1,4904,5055.9,5251.1,5435.4,5542.4,5628.7,5836.1,5972.1,6155.4,6265.3,6402.2,6523.1,6662.3,6800.4,6936.5,7089.1,7215.7,7388.3,7526.2,7624.7,7709.7,7932.2,8088.7,8270.1,8450.9,8552.8,8643.3,8818.2
