r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x
1642.1,1837.8,1976,2075.9,2173.4,2345.1,2517.7,2729.6,2853.1,2957.1,3129.8,3259.3,3419.3,3560.1,3658.9,3758.3,3928.7,4101.9,4313.3,4438.7,4545,4699.5,4799.7
1714.6,1907.1,2048.2,2147.1,2234.6,2440.3,2600.6,2789.9,2902.1,3041,3200.4,3325.1,3497.8,3630.5,3739,3823,4042.6,4192.2,4376.9,4491.2,4621.8,4750.8,4888.3
