r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e
1515.8,1723.2,1862.7,1963.7,2058.5,2239.9,2413.5,2625.6,2744.1,2849,3020.5,3154.6,3317.2,3455.7,3554,3654,3834.3,4001.2,4212.8,4337.1,4439.5,4591,4692.7,4855.9,4985.5,5141,5277.2,5375,5474.8,5645.6,5821.2,6048,6165.2,6269.3,6420.7,6521.8,6696.8,6825.1,6975.3,7115.5,7212.2,7309.1,7479.5,7655.2,7855.8,8054.2,8138,8238.1,8417.5,8593.8,8807.1,8924.7,9031.7,9175.7,9275.6,9456.8,9587.9,9751.8,9893,9995.2,10093,10272,10450,10662,10779,10883,11031,11132,11313,11446,11604,11746,11846,11942,12131,12308,12519,12728,12818,12917,13106,13294
1571,1787.8,1930.8,2030,2116.4,2336.3,2494,2689.5,2793.8,2922.9,3090.5,3222.5,3394.6,3528.8,3625.1,3710.3,3933.1,4090.8,4277.4,4386.5,4518.8,4640.2,4770.5,4924.9,5051.2,5215.1,5349.7,5448.4,5533,5750.7,5905.7,6107.9,6216.7,6346,6470.5,6594.9,6771,6894.5,7054.8,7186.9,7288.3,7372,7591.5,7717.7,7923.5,8111.8,8216.9,8297.4,8530.2,8658.3,8873.3,8978.6,9112.2,9226.1,9356.7,9526.2,9653.7,9833.2,9966.3,10069,10153,10372,10512,10727,10832,10961,11082,11215,11384,11514,11689,11821,11922,12011,12240,12400,12585,12790,12894,12977,13214,13380
