u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1814.6,1966.4,2192.8,2347.4,2445.2,2547.2,2726,2915.5,3123.6,3261.2,3368.1,3532,3671.6,3837.2,3978,4078.9,4179.6,4354.3,4535.5,4745.9,4881,4986.8,5155.4,5291.4,5458.1,5607.9,5710.1,5806.6,5978.5,6155.2,6363.9,6490,6598,6753.3,6856.6,7027.3,7160.1,7321.8,7461.1,7558.6,7653.6,7834.1,8012.6,8228.7,8363.4,8471.9,8625,8728.5,8892.8,9026.4,9188.1,9329.9,9428.8,9525.9,9705.9,9892.3,10102,10235,10339,10497,10601,10769,10907,11066,11209,11307,11404,11588,11769,11986,12113,12221,12384,12488,12674,12811,12981,13121,13217,13314,13490,13674,13891,14026,14134,14294,14397,14575,14711,14874,15020,15121,15219,15415,15598,15823,15953,16068,16226,16334,16517,16658,16834,16982,17082,17186
1859.6,2052.5,2271.6,2420,2517.8,2611,2843.5,3005.4,3192.8,3320.8,3454.2,3608.3,3754,3918,4053.4,4159.2,4242.5,4480.5,4629.1,4818.2,4932.4,5074.2,5231.5,5377.6,5543,5685.3,5790.2,5875.7,6102.1,6247.7,6435.5,6554.8,6684.3,6811,6942.4,7102.2,7238.8,7403.5,7536.4,7634.5,7722.9,7961.3,8112.8,8293.8,8424.2,8554.2,8686.2,8813.6,8967.8,9105.2,9269.2,9405.3,9511.3,9602.5,9831.5,9984.9,10174,10293,10431,10554,10688,10848,10982,11148,11284,11384,11473,11711,11866,12058,12177,12310,12449,12572,12755,12888,13060,13193,13300,13392,13606,13771,13965,14086,14220,14351,14486,14649,14792,14957,15098,15204,15292,15531,15697,15896,16014,16155,16293,16424,16596,16735,16919,17060,17164,17257
