u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1220.8,1332.3,1487.2,1640.8,1820.5,1974.5,2205.3,2351.3,2455.6,2549.4,2725.7,2915.6,3135.8,3267.1,3377.3,3549.2,3680.4,3844.7,3980.8,4081.6,4176.3,4356.2,4533.1,4754.2,4882.9,4988.4,5154.4,5289.1,5443.9,5583.4,5680.3,5774.2,5951.4,6122.8,6338.3,6459.9,6562.9,6722.3,6823.5,6990.8,7127.2,7290.6,7425.6,7524.6,7621.5,7792,7973,8170.2,8365,8448.5,8542.5,8712.7,8895.6,9106.2,9226.7,9330.8,9483.5,9584.2,9747.9,9882.9,10042,10180,10276,10370,10545,10722,10938,11066,11171,11318,11420,11592,11723,11886,12023,12123,12216,12390,12569,12771,12991,13070,13165,13338,13530,13740,13860,13966,14124,14226,14411,14547,14702,14850,14949,15042,15222
1262.7,1385,1543.3,1698.8,1866.2,2059.6,2277.2,2422.6,2525.8,2612.6,2840.2,3013,3199.8,3318.8,3467.5,3613.8,3760.1,3924.7,4053.8,4158.2,4256.7,4473,4632.6,4820.4,4941.6,5070.8,5227.8,5365.9,5525.1,5657.9,5755.7,5846,6071.2,6224.7,6404,6516.1,6648.5,6779.3,6909.8,7067,7199.4,7368.3,7501.2,7601.5,7693,7915.2,8076.4,8250.4,8423.5,8525.2,8614.8,8840.6,8996.7,9178.6,9283.4,9426.4,9540.6,9677,9828.5,9960.8,10122,10254,10353,10446,10672,10824,11009,11128,11261,11374,11503,11670,11802,11970,12102,12200,12285,12511,12663,12852,13038,13147,13236,13465,13628,13814,13923,14064,14182,14317,14489,14623,14790,14926,15024,15117,15343
