n,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d
1660.3,1844.2,1964.7,2158.1,2293.5,2395.4,2488.5,2656.6,2827.9,3031.1,3165.1,3267.9,3421.3,3523.9,3692.3,3820.8,3978.2,4120.9,4222.6,4316.6,4489.3,4666.2,4875.7,4991.9,5097.1,5262.9,5364.1,5552.1,5678.7,5843.5,5984.8,6087.3,6182.1,6356.4,6527.2,6727.9,6924.6,7007.7,7106.6,7273.9,7455,7668.6,7811.4
1699.2,1893.8,2054,2237.9,2370.1,2469,2551.9,2776,2916.8,3132,3225.1,3350.3,3484.7,3613.2,3763,3891.6,4063.5,4198.4,4296.1,4380.7,4605.1,4731.2,4940.2,5043.8,5185.3,5325.6,5457.3,5623.7,5752.6,5930.8,6063,6161.3,6254.7,6477.6,6624.2,6803,6981.6,7083,7179.2,7399,7547.3,7734.4,7869.4
