u,u,u,r,u,n,n,a,b,l,e,t,e,d
1141.6,1333.9,1575.3,1758.9,1933.3,1987,2144.8,2245.6,2341.8,2523.3,2697.6,2915.5,6091,6188.8
1186.5,1378.4,1617.3,1846.2,1973.2,2065.8,2221.2,2317.8,2408.8,2631.4,2796.7,2981.6,6152.5,6227.4
