u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1570.3,1755.4,1982.2,2139.4,2244.3,2343.7,2534.8,2716.1,2934.8,3080.7,3189.4,3361.5,3500.7,3671.1,3820.9,3922.5,4020.1,4192.7,4371.4,4586.1,4721.8,4828.5,4992.6,5099.8,5272.2,5411.8,5574.9,5721.5,5822.8,5921.6,6097,6278.8,6491.2,6624.5,6734.4,6892,6997.3,7180.6,7322.4,7487.4,7627.6,7729.2,7832.1,8021.2,8208.1,8416.2,8543.7,8652.6,8819.3,8924.5,9095.8,9230.9,9404.8,9548.8,9651.2,9750.8,9922.5,10111,10332,10455,10564,10746,10852,11036,11173,11336,11490,11593,11692,11863,12042,12254
1609.2,1836.3,2068.1,2215.6,2322.5,2411.6,2649.5,2815.3,3003.8,3136.8,3279,3440.6,3573.3,3758.2,3898.4,4001.4,4088.5,4310.7,4465.4,4655.4,4778.3,4919.6,5051,5187.1,5348.3,5483.1,5658.9,5799.1,5900.7,5990.2,6219.4,6374.4,6560.5,6678.4,6825.4,6950,7095.5,7263,7401.5,7568.3,7709.4,7807.3,7899.2,8140.1,8302.1,8488.1,8605.8,8738.8,8877.3,9008.8,9173.4,9306.2,9493.1,9628.3,9729.6,9818.8,10050,10209,10403,10517,10659,10806,10939,11115,11254,11427,11569,11672,11758,11988,12134,12327
