u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1975.6,2138.8,2291.3,2467,2649,2824,3085,3226.1,3434.4,3578.3,3678.1,3772,3939.4,4115,4329.1,4458,4564.5,4731.4,4868.5,5038.8,5175.5,5278.2,5373.9,5557.9,5732.4,5943.5,6076.7,6179.6,6354.1,6488.5,6653.6,6794.8,6893.2,6988.4,7166.7,7344.5,7560.7,7693.1,7795.8,7941.2,8040,8213.5,8349,8513,8655,8753.3,8852.6,9028.6,9204.2,9420.4,9549.8,9655.2,9811.9,9914,10072,10206,10370,10513,10610,10703,10888,11069,11266,11452,11529,11627,11812,11988,12212,12339,12443,12593,12694,12851,12956,13138,13273,13444,13589,13692,13786,13968,14155,14368,14507,14611,14762,14864,15045,15150,15322,15455,15618,15764,15869,15963,16153,16337,16558,16681,16786,16936,17041,17203,17307,17487,17619,17791,17942,18037,18133,18304,18495,18740,18878,18986,19163,19270,19451,19597,19763,19908,20010,20106,20288,20470
2045.8,2194.6,2341.9,2521.6,2702.9,2912.1,3142.1,3320.8,3518.2,3651.6,3751.4,3842.7,4060.6,4219.8,4394.1,4525.2,4649,4811.4,4941.9,5116.8,5251,5354.2,5443.7,5677.8,5832.8,6011.3,6136.5,6268.5,6429.8,6565.1,6735.1,6870.3,6971.4,7060.9,7292.5,7451.4,7633.6,7754.3,7885.7,8004.8,8130.8,8303.4,8430.6,8596.4,8730.6,8832.5,8924.4,9147.1,9301.4,9489.8,9609.2,9747.6,9869.9,10002,10146,10279,10451,10590,10686,10774,11009,11164,11353,11502,11609,11702,11934,12087,12284,12399,12531,12650,12781,12909,13051,13222,13354,13530,13666,13773,13861,14093,14254,14444,14568,14707,14826,14953,15103,15236,15401,15534,15704,15845,15954,16040,16272,16388,16628,16740,16879,16997,17133,17262,17389,17564,17693,17871,18013,18115,18205,18428,18596,18809,18944,19074,19229,19357,19531,19678,19848,19986,20088,20182,20412,20576
