r,r,n,n,a,b,l,e,t,d,x,u,u,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1102.8,1505.2,1721.1,1860.9,1958.4,2053.5,2237.1,2412.4,2624.5,2751.8,2849.3,3322.6,3506.6,3641.4,3834.3,3970.1,4071.6,4167.9,4342.1,4515.5,4720.5,4911,4996.3,5090.6,5278,5453.4,5661,5777,5882.1,6032.1,6131.7,6297.2,6430.3,6583.7,6720.5,6818.9,6916,7088.1,7256.6,7467.6,7591.4,7694.8,7843.2,7942.8,8092.4,8195.4,8358.2,8488.9,8653.6,8792.9,8889.7,8985.3,9158.3,9340,9546,9671,9882.2,9983.2,10078,10260,10440,10662,10781,10883,11030,11132,11306,11444,11600,11743,11841,11933,12119,12293,12487,12688,12772,12867,13053,13238,13472,13593,13700,13853,13956,14130,14271,14444,14590,14689,14783,14963,15145,15342,15552,15637,15731,15914,16105,16333,16460,16567,16717,16819,16999,17133,17301,17454,17551,17646,17829
1177,1577.3,1789.2,1927.6,2024.2,2114.8,2336.1,2495.5,2685.3,2805.9,2944.3,3358.8,3550.6,3718,3910.5,4043.8,4145.7,4227.9,4454.3,4602.8,4785.4,4969.6,5072.7,5155.4,5383.8,5539,5722.1,5828.2,5960.9,6082.3,6199.7,6366.4,6494.6,6660.3,6793.5,6893.4,6982.1,7197.9,7350.2,7531.7,7648.3,7774.8,7897.8,8024.2,8148.7,8274.3,8427.4,8555.9,8732.9,8866.8,8964.9,9048.7,9270.3,9430.3,9627,9738.5,9949.3,10059,10145,10378,10507,10726,10833,10960,11079,11213,11381,11521,11680,11817,11917,12003,12233,12360,12564,12746,12852,12935,13157,13328,13537,13647,13779,13909,14042,14208,14346,14528,14665,14764,14851,15083,15234,15414,15614,15714,15797,16024,16189,16398,16514,16643,16767,16894,17071,17208,17386,17523,17627,17708,17936
