u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s
1176.5,1367,1561.5,1749.4,1983.8,2126.4,2229.9,2325.2,2510.8,2687.5,2896,3027.7,3136.1,3310.7,3443.7,3616.8,3760,3863.1,3960.7,4132.8,4306.7,4515.2,4640.4,4744.5,4917.1,5053.8,5216.5,5357.2,5454.9,5551,5726.4,5904.2,6117.5,6243,6349.2,6511.1,6612.8,6784.4,6913.8,7080.7,7228.3,7329.2,7427.1,7601.4,7773.7,7981.1,8103,8206.6,8356.8,8459,8621.6,8759.7,8915.4,9058.9,9158.9,9254.3,9436.9,9611,9822,10011,10098,10196,10390,10573,10796,10919,11024,11169,11269,11444
1222.1,1403.4,1604.4,1829.2,2059.6,2203.7,2303.9,2390.8,2630.1,2778.5,2962.6,3084.4,3214.6,3387.2,3516.8,3700.5,3841.2,3938.8,4024.3,4245.8,4401.7,4581.3,4697.2,4831.1,4991.3,5126.6,5294.5,5432.5,5532.5,5619.8,5851.3,5999.7,6180.8,6302.8,6441.1,6568.2,6700.9,6859.7,6990.8,7166.5,7307,7408.2,7495.3,7721.4,7866,8050.2,8161.2,8291.4,8415.2,8542.7,8697.5,8832.2,8996.6,9134.1,9237.4,9320.6,9559,9704.7,9895.8,10076,10180,10265,10510,10667,10866,10984,11108,11227,11354,11516
