u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,r
1194.1,1355.3,1624.7,1765.8,1984,2130,2228.8,2320.8,2504,2672,2884.8,3010.5,3113.3,3310.8,3435.4,3595.7,3727.2,3826.6,3921.2,4091.9,4266.1,4478.6,4592.4,4695.2,4845.9,4943.9,5109.5,5240.4,5400.8,5539.5,5637.3,5734.2,6196,6364.2,6495.8,6678.7,6809.7,6909.1,7002.5,7168.1,7333.9,7540.8,7652.6,7755.5,7900.2,7998.7,8162,8286.4,8437.2,8573.5,8669.9,8763.3,8929.8,9101.4,9308.4,9424.2,9524.9,9669,9767.1,9933.3,10061,10220,10360,10458,10552,10728,10901,11104,11305,11386,11484,11672,11847,12063,12203
1233,1425.7,1661.7,1844.1,2057.3,2201.3,2298.7,2382.3,2600.9,2753.4,2944.3,3059.8,3188.9,3377.9,3501.8,3678.1,3800.9,3899.3,3983.1,4202.3,4354.9,4537.4,4640.4,4774.3,4891.2,5025.4,5179.3,5308.4,5480.7,5615,5715.3,5795.7,6229.8,6415.5,6582.7,6764.7,6887.4,6986.5,7073.5,7277.8,7420.8,7607.5,7701.9,7828.9,7949.5,8076.9,8231,8358.9,8520.8,8648.2,8748.3,8834.6,9046.7,9173.6,9371.9,9482.2,9604.2,9722.3,9845.8,10004,10133,10297,10432,10535,10619,10840,10987,11174,11361,11467,11557,11788,11938,12128,12279
