u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,u
1654.7,1826.4,1976.9,2203.1,2345,2444.2,2536.2,2709.6,2886.4,3098.7,3220.8,3322.6,3504.3,3632.6,3795.9,3934.5,4032.2,4125,4291.3,4468.2,4674.8,4795.9,4897.2,5052.3,5151.3,5313.5,5437.8,5593.8,5734.6,5831.1,5922.4,6096.4,6270.4,6470.5,6657,6741.5,6835.4,7008.6,7182.9,7395.5,7582.2,7664.5,7762.3,7954.5,8131.6,8342,8460.2,8563.4,8710.5,8814.2,8979.5,9109.2,9263.1,9399.1,9497.9,9591.4,9770.4,9942.3,10154,10274,10378,10533,10635,10852
1688.6,1861.7,2047.3,2272.2,2412.7,2514.3,2600.1,2816.7,2973.2,3163,3275.1,3407.4,3579.8,3703.2,3873.4,4006.1,4105,4192.1,4404.2,4560.9,4737.8,4851.2,4981.6,5105.1,5232.6,5385.7,5513.8,5678.7,5809.1,5905.7,5989.8,6221.8,6361.8,6542.4,6715.2,6819.2,6898.9,7126.8,7269.9,7479.3,7638.4,7745.5,7828.4,8078.6,8226.2,8407.8,8517,8652,8765.2,8898.1,9054.2,9182.3,9340.4,9478.2,9576.1,9660,9890,10042,10221,10329,10456,10592,10715,10902
