u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x
1403.1,1582.2,1740,1972.6,2114.8,2216.2,2316.1,2503.8,2683,2903.5,3032.9,3138.9,3311.8,3444.2,3610,3752.2,3849.3,3947.3,4133.4,4308.6,4505.1,4698.8,4787.5,4888.4,5065.9,5238.3,5452.2,5571.4,5674.7,5849.6,5985.3,6139.3,6280.7,6377.3,6477.8,6642.9,6816.6,7029.7,7151.4,7260.3,7416.1,7519.5,7695.3,7830.5,7997,8135.8,8239.2,8335.2,8513.4,8697.9,8915.3,9037.8,9144.7,9291.2,9396.2,9561.1,9698.2,9861.4,10000,10102,10197,10375,10554,10766,10981,11068,11162,11360,11541,11757,11880,11986,12139,12244,12414,12521
1439.1,1623.2,1806.4,2045.1,2188.9,2291.3,2376.3,2607.7,2768.4,2959.1,3082.7,3216.9,3384.6,3510.5,3689.1,3824.8,3921.8,4015.2,4244.8,4398,4580.3,4759.5,4866,4952.4,5181.5,5303.6,5514.1,5620.2,5756.8,5921.5,6056,6221.3,6350.2,6453.6,6543.9,6759.3,6908.1,7097.8,7202.2,7341.9,7466.2,7611.2,7771.4,7898.7,8076.6,8214.9,8312.1,8403.9,8643.5,8796.6,8982.6,9091.8,9230.2,9348.8,9490,9642.2,9767.9,9942.3,10075,10176,10267,10495,10647,10843,11035,11152,11229,11483,11631,11824,11932,12067,12196,12328,12469,12608
