u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,n,x,s,r
1619.9,1774.2,1987.8,2129.8,2228.8,2327.9,2509.6,2685.1,2902.9,3027.8,3134.9,3312.2,3482,3624.9,3764.1,3869.7,3963.6,4147.6,4323.1,4522.7,4721.6,4805.7,4903.2,5075.5,5250.6,5470.6,5624.2,5724.9,5906.6,6050.5
1652.1,1845.5,2072.8,2197.9,2301.6,2388.7,2604.7,2771.9,2965.6,3081.5,3216.1,3381,3514.8,3689.3,3839.3,3941.8,4032.8,4259.9,4416.9,4601,4778.9,4881.7,4971.4,5188.5,5342.3,5534.3,5664.2,5806.7,5977.2,6127.8
