u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1075.4,1508.9,1815.7,1971.5,2217.7,2368.8,2469.1,2561.2,2749.9,2923.9,3138.2,3271.1,3383.2,3551.8,3688.4,3845.2,3993.7,4095.6,4188.7,4367.5,4545.5,4746.8,4870.2,4977.1,5135.1,5235.7,5403.7,5537.9,5701.2,5841.6,5940.4,6037.8,6207.8,6381.7,6584.7,6783.7,6860.2,6951.8,7137.4,7312.4,7517.9,7642.4,7746.4,7894.5,7993.6,8165.6,8297.3,8459.3,8602.1,8706.4,8800.5,8985.7,9160.2,9370.7,9502.7,9608.2,9762.9,9863.3,10050,10185,10349,10494,10591,10686,10858,11039,11252,11382,11487,11633,11733,11913,12028,12196,12337,12503,12644,12748,12840,13020,13202,13427,13569,13676,13830,13930,14093,14233,14389,14529,14628,14721,14909,15092,15310,15442,15545,15697,15799,15990,16132,16309,16452,16555,16647,16840
1110.9,1589.5,1866.3,2061,2298.8,2437.3,2546.8,2630.4,2854.8,2980.4,3202.7,3330.5,3463.7,3637.1,3771.1,3926.6,4069.7,4173.6,4258.2,4490.5,4636.5,4819.4,4930.6,5067.3,5197.3,5321.2,5482.5,5617.3,5781.6,5920.2,6020.8,6103.9,6321.7,6475.2,6661.7,6836.8,6937.9,7023.2,7258.9,7404.9,7584.7,7699.6,7826,7952.2,8076.8,8240.7,8377.1,8545.2,8682.6,8784.8,8867.3,9098.7,9253.4,9439.5,9562.7,9690.8,9822,9947,10128,10264,10426,10570,10671,10757,10976,11136,11318,11442,11574,11686,11817,11969,12117,12273,12419,12587,12727,12827,12913,13140,13296,13497,13628,13765,13889,14015,14170,14318,14473,14610,14705,14792,15023,15185,15381,15502,15631,15752,15885,16066,16211,16395,16530,16632,16721,16953
