u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a
1048.7,1189.8,1372,1581,1725.3,1952.1,2098.5,2200.6,2293.7,2470.9,2653,2860.1,2990.1,3096.5,3278.4,3417.9,3578.7,3720.6,3822.1,3917.2,4096.2,4280,4483.5,4687.8,4775.4,4874.4,5062.8,5240.3,5465.8,5573.3,5792.7,5884.5,5983.5,6172.1,6357.2,6561.5,6689.1,6795.5,6951,7050.8,7219.4,7355.8,7521.4,7657.9,7760.4,7860.4,8048.4,8233.5,8446.7,8572.3,8677.4,8834.4,8937.8,9118.2,9259,9430.6,9580.5,9677.5,9775.1,9958.3,10147,10364,10581,10670,10766,10948,11132,11357,11480,11586,11737,11845,12022,12158,12322,12467,12565,12666,12847,13044,13271,13401,13508,13661,13764,13946,14083,14260,14412,14541
1093.9,1238.8,1413.9,1623,1803.9,2026.7,2169.8,2277.1,2360.6,2587.4,2752.8,2923.8,3050.7,3179.9,3354.8,3488.1,3655,3794.1,3896.6,3991.5,4218.1,4369.6,4562.9,4753,4856.5,4943.9,5171.6,5334.7,5511.2,5634,5855.2,5965.1,6048.5,6296.5,6451.9,6627.9,6746.7,6871.9,7005.6,7138.5,7297.8,7428.2,7605.5,7736.5,7838.5,7926.4,8172.3,8325.3,8515.1,8629.1,8763.4,8889,9029.8,9194.2,9335.2,9517.9,9654.4,9757.7,9851.4,10082,10247,10438,10642,10751,10833,11070,11229,11425,11537,11671,11797,11932,12101,12233,12403,12542,12644,12737,12966,13140,13341,13462,13589,13718,13851,14019,14161,14345,14487,14605
