r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b
1336.9,1600.2,1754.3,1965.4,2108.6,2210.5,2306.2,2484.1,2667,2881,3018.8,3127.5,3304.3,3432.8,3601,3746.7,3848.5,3945.2,4128.1,4309.5,4521.8,4642.8,4747.4,4924.6,5060.2,5227.9,5366.1,5469.8,5566,5752.9,5932.7,6148.2,6279.2,6385.9,6536.2,6639.2,6818.6,6958.3,7122.6,7259.1,7358.3,7455.5,7635.1,7810.8,8031.6,8154.2,8260.2,8415,8516.5,8696.5,8827.6,8985.6,9134.3,9236.2,9333.9,9517.1,9695.4,9916.2,10043,10149,10312,10415,10591,10748,10915,11061,11164,11260,11450,11629,11839,12038,12124,12221,12411,13057,13191,13386,13527,13625,13721,13901,14081,14297,14422,14527,14682,14783,14964,15097,15267,15411,15514,15609,15796,15975,16210,16336,16446,16599,16705,16867,16972,17166,17306,17473,17622,17729,17829
1409.4,1637.3,1836.5,2039.8,2179.2,2278.5,2377,2586.5,2753.9,2942.8,3075.4,3205.9,3370.4,3502.3,3680.8,3819.1,3920.8,4012.4,4250.3,4372.8,4588.5,4699.6,4842.1,4999.5,5126.8,5300.2,5439.4,5546.3,5632,5866.6,6024.5,6216.7,6337.1,6468.1,6592.5,6730.3,6893,7029.2,7203,7336.3,7438,7525.6,7747,7899.2,8094.8,8206,8341.2,8469,8601.6,8769.8,8899.1,9071.6,9211.6,9314.4,9399.6,9629.2,9783.5,9987.2,10096,10237,10370,10501,10667,10821,11002,11138,11242,11330,11571,11723,11914,12100,12204,12289,12518,13116,13276,13471,13600,13702,13791,14019,14169,14364,14476,14613,14735,14872,15041,15167,15351,15492,15592,15676,15906,16069,16276,16396,16532,16657,16792,16923,17060,17239,17378,17552,17704,17808,17899
