u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1098.8,1546.5,1727.8,1977.8,2123.6,2225.4,2322.9,2520.1,2702.4,2923.6,3065.9,3183.6,3352.7,3489.8,3663.5,3804.6,3906.2,4007,4191.3,4369.4,4583.6,4717.5,4827,5002,5143.2,5311.1,5453,5551.9,5647.2,5828.3,6004.7,6217.9,6352.3,6463.5,6647.7,6791.1,6954.1,7097.2,7198.1,7293.7,7478.4,7659.1,7867.6,7998.8,8105.5,8262.8,8363.1,8534.8,8674.2,8838,8979.7,9079.4,9179.7,9358,9538,9773.9,9899,10006,10164,10267,10437,10573,10743,10889,10989,11087,11276,11456,11669,11870,11955,12058,12236,12419,12633,12759,12867,13027,13130,13306,13443,13611,13760,13860,13956,14137,14321,14558,14683,14790,14947,15053,15232,15374,15544,15690,15795,15895,16089,16278
1135.2,1591.2,1814.9,2051.4,2198.5,2299.9,2389.3,2624.3,2796.4,2988.6,3123.6,3268.3,3429.4,3561.9,3740.8,3882.1,3982.6,4075.2,4306.2,4464.8,4658.5,4774.5,4915.7,5078.3,5217.9,5392.2,5530.5,5627.3,5711.2,5948.8,6099.5,6285.3,6408.3,6550,6727.8,6863.3,7042.3,7172.5,7274.1,7360.9,7595.2,7755.3,7937.7,8057.7,8193.6,8319.1,8452.5,8618.4,8746.9,8923.2,9052.8,9159.3,9250.5,9477.6,9632.8,9839.7,9957.6,10091,10220,10349,10511,10650,10829,10969,11066,11157,11396,11556,11755,11930,12044,12128,12364,12514,12705,12816,12953,13084,13219,13385,13517,13699,13836,13938,14023,14257,14423,14630,14742,14882,15005,15141,15308,15450,15633,15768,15877,15965,16220,16376
