u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1379.7,1521.5,1672.7,1837,1987.8,2239.2,2382.4,2480,2574.1,2754.5,2931.4,3141.6,3263.5,3370.2,3543.1,3679.8,3833.2,3971.1,4070.7,4165.5,4342,4517.6,4724.8,4846.7,4953,5128.3,5258.1,5416.7,5557.6,5660.3,5755.4,5924.2,6101.2,6300.8,6488.1,6567.5,6661.8,6842.8,7016.1,7230.5,7350.7,7455.7,7601.5,7702.3,7873.6,8001.4,8160.3,8298.4,8395.9,8490.9,8664.8,8840.7,9049.8,9246.9,9343,9437.8,9622.4,9799.3,10013,10133,10236,10380,10480,10641,10744,10921,11051,11215,11358,11466,11556,11729,11911,12125,12247,12353,12509,12612,12769,12873,13054,13188,13362,13508,13609,13705,13884,14068,14283,14505,14584,14679
1429.9,1569.8,1723,1891,2076.3,2312.6,2452.2,2554.2,2640.9,2868,3019.2,3207.7,3320.8,3460.8,3617.5,3754.4,3913.9,4045.4,4148.3,4235.3,4464.2,4611.4,4788.3,4907.5,5033.1,5200.3,5335.7,5498.5,5635.5,5735.7,5822.5,6043.3,6190.5,6387.8,6540.8,6644.4,6734.3,6962.5,7108.4,7297,7410.4,7546.7,7658.5,7797.2,7951.3,8088.7,8242.2,8372.6,8472.7,8564,8791.2,8938.1,9138.4,9317.6,9417.6,9508.7,9740.9,9895.5,10083,10194,10319,10438,10568,10707,10837,10998,11136,11302,11434,11539,11634,11851,12008,12194,12311,12434,12572,12703,12835,12962,13131,13266,13446,13587,13687,13776,14008,14161,14372,14558,14665,14754
