u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1656,1816.7,1970.2,2190.6,2326.8,2425.7,2520,2699.7,2869.5,3067.4,3191.8,3293.9,3469.6,3602.8,3758.2,3905.8,4002.8,4097.2,4273.8,4442.4,4648.9,4773,4877.6,5043.7,5144.1,5334.2,5472,5653.4,5796.4,5902.7,5996,6171.3,6347.4,6560.2,6685.2,6790.8,6939.5,7041.8,7207.1,7342.8,7505.2,7642.3,7741.8,7834.5,8013.5,8189.2,8396.8,8524.9,8629.2,8783.3,8884.7,9062.5,9163.6,9336.4,9468.2,9633.2,9777.2,9871.8,9971.3,10142,10324,10546,10677,10784,10941,11044,11217,11351,11518,11660,11764,11861,12056,12238
1695.9,1854.1,2046.2,2260.9,2399.3,2499.8,2583.9,2811.6,2958.2,3137.6,3247.7,3374.2,3543.8,3671,3839.9,3977.3,4080.9,4162.2,4385.1,4533.1,4712.3,4828.2,4948.6,5097,5231.1,5404.2,5542.9,5736.3,5873.1,5976.2,6060.7,6294.8,6446.4,6633,6744.8,6876.3,7004.5,7133.1,7286.3,7415.6,7587.2,7717.1,7816.6,7903.1,8139,8283,8465.1,8584.4,8705.9,8839.7,8969,9120.3,9256.5,9412.5,9543.2,9718.8,9853,9952,10040,10263,10420,10617,10736,10870,10998,11123,11298,11423,11605,11743,11840,11925,12170,12329
