r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1983.2,2216.9,2369.1,2472,2571,2745.1,2919.7,3121.4,3248.2,3353.9,3530.6,3661.4,3828.4,3968.5,4069.6,4162.5,4335.4,4512.4,4731.3,4857,4961.8,5142.6,5274.2,5435.4,5581.6,5684.2,5777.4,5949.7,6126,6335.6,6466.3,6572.4,6726.1,6824,6994.6,7128.1,7292.5,7429.4,7533.4,7626.4,7800.2,7975.1,8172.7,8362.8,8444.4,8540.7,8706.5,8888,9098.4,9221.5,9324.7,9471.1,9570.6,9739.7,9864.4,10028,10168,10269,10364,10549,10724,10942,11069,11176,11326,11430,11609,11737,11910,12047,12143,12238,12417
2076.5,2299,2445.4,2546,2638.8,2852.7,3013.8,3183.4,3308.1,3436.5,3606.6,3738.2,3908.5,4045.3,4144.3,4239.1,4453.3,4610.5,4800.9,4916.9,5044.8,5218.6,5353,5523,5660.6,5757.6,5859.3,6071,6223.2,6409.5,6529.5,6660.6,6784.6,6913.2,7074,7211,7363.9,7510.9,7605.5,7701.3,7923.6,8074.9,8259,8424.1,8522.8,8624.3,8830.1,8990,9171,9282.1,9410,9532.7,9663.6,9814.1,9942.8,10113,10248,10346,10442,10670,10818,11018,11134,11268,11382,11523,11684,11811,11997,12122,12223,12315,12540
