r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1596.2,1831.5,1974.5,2073.1,2171.1,2351.2,2524.8,2750.4,2878.8,2979.9,3148.2,3279.9,3440.6,3579.3,3684.8,3781.7,3956.5,4132.4,4340.5,4467.7,4574,4718.3,4817.8,4987.2,5114.9,5273.9,5416.8,5518.1,5614.1,5794.8,5968.7,6166,6363,6443.1,6542.6,6715,6893.7,7102.9,7304.5,7396.9,7493.4,7668.5,7838.1,8064,8188.4,8292.2,8440,8540.9,8708.6,8843.6,8999.6,9145.8,9245.5,9339.6,9533.8,9708.8,9940.2,10062,10168,10318,10422,10594
1668.2,1902.2,2041.1,2141.3,2226.2,2458.5,2610.4,2810.6,2927.8,3059,3209.3,3346.1,3512.2,3653.5,3756.8,3846.6,4062.4,4217.2,4402.3,4517.8,4648.5,4765.8,4897.5,5058.6,5184,5354.1,5490.5,5593.3,5676.8,5908.1,6056.6,6233.8,6413.5,6519.7,6606.5,6828.6,6984,7170.1,7366.5,7472.8,7557.6,7778.8,7928.8,8127.4,8240,8365.7,8495.6,8624.9,8785.3,8913.8,9081.6,9220.9,9320.7,9409.5,9647.1,9802.3,10005,10119,10241,10375,10513,10671
