u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1151.1,1305.7,1491.7,1846.1,1980.6,2205.3,2350.5,2446.1,2535.1,2711,2881.6,3085.6,3213.9,3319.8,3487.3,3619.5,3778.5,3915.3,4013.5,4107.2,4275.4,4450.1,4656.7,4783,4882.7,5038.2,5136,5297.7,5422.6,5572.8,5708.1,5802.4,5894.9,6072.7,6245,6458.5,6576.2,6678.1,6832.3,6932.8,7104,7236.7,7404,7546.1,7646.1,7739.2,7933.9
1191.3,1345,1535.3,1894.3,2076.2,2287.7,2422.1,2516.6,2605.3,2821.8,2977.8,3152.3,3271.8,3410,3563.3,3706.6,3859.4,3994,4091.2,4179.4,4400.1,4543.2,4724.4,4842.2,4977.7,5097.8,5227.3,5371.8,5509,5657.2,5779.2,5877.4,5968.7,6199.4,6341.8,6520.9,6644.8,6766.5,6894.2,7021.7,7180.3,7317.7,7491.5,7623.8,7722.3,7817.1,8043.8
