u,u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1146.2,1311.2,1474.7,1635.9,1813.9,1971.5,2259.6,2415.5,2631.6,2775.5,2881.5,2977.7,3168.3,3355.3,3567.9,3692.9,3802.8,3972,4106.5,4281.6,4426.5,4526.2,4622.7,4801.5,4978.2,5193.9,5314.7,5421.1,5606.2,5742.7,5903.3,6041.7,6143.6,6241.7,6412.7,6589.6,6796.9,7001.1,7080.4,7174.8,7348.6,7527.3,7746.9,7873.2,7979.5,8131.4,8235.4,8397.4,8527.6,8691.7,8832.6,8933.2,9029.7,9206.3,9387.3,9609.9,9730.7,9836.5,9995.3,10098,10272,10403,10568,10708,10810,10904,11093,11281,11519
1190.8,1353.4,1520.1,1689.4,1861.9,2049.3,2308.4,2495.7,2704,2847.7,2954.9,3042.1,3288.1,3448.2,3632.6,3743.8,3891.6,4042.2,4180.8,4360.2,4499.5,4601.9,4692.8,4920.2,5070.9,5258.9,5368.1,5510.7,5679.9,5813.8,5980.6,6115.9,6218.2,6315.4,6538.2,6686.3,6860.8,7041.9,7156.2,7239.7,7476.3,7622,7814.8,7929.4,8067.7,8184.9,8324.2,8471.8,8608.2,8776.1,8907.5,9009.1,9098.7,9329.2,9482.2,9677.2,9791.4,9930.3,10054,10187,10347,10481,10649,10785,10889,10974,11218,11383,11584
