r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,l,u,r,n,n,a,b
1368.5,1625.3,1774.1,1977.8,2137.6,2248.2,2346.8,2543.1,2723.4,2952.1,3075.6,3184,3353.3,3490.2,3653.2,3793,3889,3986,4168.9,4344.6,4562.4,4686.3,4792.9,4967.6,5098,5261.1,5405.8,5509.7,5606.3,5781.5,5966.2,6192.6,6310.2,6414.7,6593.4,6727.2,6893.7,7035.9,7137.2,7232.8,7409.2,7586.8,7804.5,7922.1,8029.7,8201.2,8304.1,8470.2,8603.4,8761.6,8909.2,9015.7,9108.6,9287.5,9469,9691.7,9817,9925.5,10095,10228,10392,10534,10636,10734,10909,11088,11326,11445,11553,11711,11815,11996,12155,12330,12538,12765,12909,13113,13258,13362,13460
1442.8,1668.9,1853.4,2046.4,2212.9,2318.6,2405.9,2649.9,2782.9,3015.2,3129,3271.5,3425.6,3560.6,3729.6,3864.7,3961.5,4056.5,4287.4,4432.2,4626.7,4740.8,4876.3,5042.5,5171.2,5344.3,5482.1,5583.4,5675.1,5900.1,6059.4,6259.9,6362.5,6498.2,6668.7,6799,6977.6,7110,7211.7,7302.1,7531.9,7680.7,7868.8,7978.5,8112.8,8256.7,8387.1,8546.9,8679.1,8850.5,8989.3,9090.9,9177.9,9410.9,9562.3,9762.4,9877.7,10011,10169,10306,10475,10610,10712,10810,11032,11192,11396,11503,11650,11773,11899,12073,12232,12390,12581,12826,12993,13196,13341,13440,13526
