u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1229.6,1401.3,1746.1,1972.2,2121.1,2223.2,2319.8,2507.7,2688.2,2911.8,3042.8,3153.1,3324.5,3463.1,3635.6,3776.7,3880.8,3975.2,4146.5,4330.6,4547.8,4670.2,4776.8,4957.4,5095,5250.4,5383.2,5484.8,5583.5,5768.7,5943.7,6158.6,6282.7,6388.1,6543.6,6646.1,6814.9,6949.2,7107.9,7250.4,7351,7447.5,7621.9,7796.3,8016.1,8136.2,8242.3,8404.2,8543.5,8707.4,8853.3,8953.8,9051.8,9228,9407.6,9618.2,9743.3,9853.9,10006,10112,10281,10415,10582,10719,10818,10922,11111,11293,11507,11722,11810,11909,12095,12278,12498,12620,12727,12883,12985,13166,13303,13465,13607,13713,13813,14007,14190,14404,14607,14694,14796,14985
1266.8,1434.2,1819.1,2046.5,2192.9,2297.4,2383.6,2619.6,2786.3,2974.5,3099.9,3231.9,3392.4,3539.4,3714,3853.6,3957.6,4044.9,4263.4,4422.8,4613.5,4720.4,4864.8,5032,5162.6,5328,5459.4,5561.3,5654.7,5883.9,6034.8,6218.3,6334.2,6473.2,6595.5,6730.9,6888.2,7018.1,7191.6,7325.5,7427.2,7514.8,7735.1,7890.2,8079.8,8187.7,8329.1,8481.4,8612.9,8792.4,8930.8,9032.1,9121.4,9346.3,9500.2,9685.8,9798.6,9934.6,10063,10194,10358,10487,10662,10794,10900,10992,11220,11390,11581,11783,11891,11980,12211,12368,12562,12675,12810,12938,13066,13245,13378,13544,13686,13794,13881,14123,14284,14473,14663,14770,14864,15095
