u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b
1564.8,1741.2,1977.5,2120.4,2221,2312.9,2502.8,2678.7,2891.7,3012.9,3117.3,3286.5,3415.1,3576.5,3717.9,3820.6,3915.7,4089,4262.4,4471.6,4594.2,4700.3,4870.4,4999.2,5154.5,5293.5,5393.1,5486.5
1612.1,1816.6,2051.2,2192.4,2293.9,2378.5,2607.2,2763.8,2953.6,3065.2,3206.3,3358.2,3488.3,3656.5,3794.7,3892.6,3979.2,4203.6,4354.2,4532.6,4649.7,4788.8,4944.8,5069.4,5230.2,5364.6,5473,5550.1
