u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r
2190.7,2355,2500.8,2693,2852,3098.6,3244.2,3341.8,3443.2,3622.9,3800.9,4007.9,4130.4,4235.7,4415.8,4555.2,4716,4859.7,4964.3,5065.6,5246.9,5428.4,5644.6,5848.5,5930.8,6030.1,6221.2,6404.8,6625.3,6753.3,6861.5,7019.9,7124.2,7300.9,7438,7605.5,7744.6,7850.7,7953.5,8141.1,8335.9,8551.7,8677.4,8789.4,8961.1,9067,9268.9,9408.1,9579.2,9728.6,9829.4,9927.7,10118,10312,10541,10776,10873,10975,11165,11347,11577,11712,11823,11985,12089,12274,12417
2236.9,2405.5,2557.7,2742.6,2941.4,3176.3,3317.8,3420.4,3505.8,3746,3904,4076,4191.2,4327.7,4490.3,4629.4,4800.2,4941.7,5043.3,5135.6,5366.5,5524.1,5726.8,5899.6,6016.3,6099.6,6343.6,6501.1,6699.6,6809.6,6950.9,7079.1,7214.7,7380.3,7520.2,7682.3,7826.2,7934.6,8024.2,8271.4,8432.9,8619.7,8742.2,8887.2,9018.9,9160.9,9347.9,9484.7,9664.9,9805,9908.5,9999.9,10239,10411,10623,10832,10955,11042,11283,11447,11646,11770,11913,12045,12175,12356,12486
