u,l,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1105.9,1251.8,1402.1,1572.8,1732.4,1950.7,2092.5,2188.5,2284.1,2459.9,2633.3,2843.3,2972,3084,3249,3377.5,3540.2,3683.2,3779.1,3874.8,4051.5,4227.9,4440.8,4562.2,4667.2,4822,4928,5096,5227.2,5387,5522.4,5622.3,5716.8,5889.4,6064.7,6278.9,6403.5,6508.8,6659.4,6761.2,6931.1,7062.6,7215.5,7352.3,7452.7,7546.4,7714.2,7890.8,8112.9
1155.8,1343.8,1450,1616.8,1806.2,2025.2,2161.1,2260.6,2345.6,2566.4,2726.8,2906.2,3031.6,3168.2,3323.6,3447.8,3623.9,3756.7,3854.7,3943.1,4167.3,4309.9,4503.9,4618.6,4756.3,4878.9,5002.1,5165,5299.3,5463.5,5597.1,5698,5779.3,6004.2,6156.7,6340.1,6455.4,6595.8,6716.2,6845.9,7002.9,7128.8,7297.2,7427.6,7525.9,7610.6,7826.5,7982.1,8188.3
