u,u,u,u,u,r,n,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1185,1323.1,1466.8,1661.9,1821.9,1977.4,2194.8,2862.5,3047.1,3187.6,3400.8,3543.5,3644.9,3742.8,3910.8,4087.2,4291.8,4417.9,4524.9,4685.9,4811.2,4965.2,5101.7,5200.3,5292.9,5486.2,5656.2,5866.1,5983.4,6090.2,6247.4,6378.2,6540.2,6680,6780,6877.7,7052.1,7225.9,7436.1,7555.1,7660.2,7821.1,7922,8085.6,8214.5,8369.2,8506.7,8606.2,8702.2,8874.5,9049.5,9264.9,9384.3,9485.5,9638.8,9737.7,9896.3,10029,10186,10321,10419,10516,10693,10869,11090,11210,11314,11467,11569,11744,11876,12041,12181,12282,12376,12557,12741,12962,13084,13188,13338,13440,13601,13733,13891,14034,14137,14233,14406,14588
1223.8,1357.6,1516.9,1713.5,1877.8,2067.6,2257.8,2902.4,3099.2,3277.8,3481.5,3617.2,3720.2,3807.2,4029.8,4177.7,4354.6,4482.8,4619.7,4758.6,4895.5,5043,5175.1,5274.6,5364.5,5603.3,5755.5,5926.1,6034.2,6175.2,6324,6452,6620.5,6757.8,6856.5,6947.6,7177.4,7328.8,7505.6,7620.2,7761.9,7877.2,8019.2,8160.1,8292.5,8448.3,8579.7,8683.2,8777.8,8995.8,9148.2,9339,9449.4,9574.6,9698.5,9832.8,9970.4,10102,10269,10395,10496,10590,10820,10961,11156,11266,11410,11524,11659,11815,11957,12123,12257,12359,12452,12681,12846,13036,13146,13281,13394,13531,13676,13819,13978,14110,14214,14305,14531,14654
