u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1266.4,1454.2,1613,1796.3,1978.4,2261,2417.4,2616.1,2753.8,2853.9,2949.6,3117.9,3291.3,3491.5,3616,3717.3,3886.8,3989.3,4148.8,4282.5,4445.3,4585.4,4686.5,4783.3,4957,5134.7,5350.2,5478.8,5583.6,5735.8,5833.1,6007.8,6141.2,6301.8,6442.5,6541.5,6637.1,6809.2,6984.7,7182.3,7376,7469.6,7567.6,7734.1,7911.8,8121.8,8321.6,8437.3,8530.2,8711.6,8895,9110.4,9228.3,9332.1,9477.1,9578.7,9751.7,9888.2,10044,10189,10286,10384,10559,10736,10945,11150,11230,11327,11516,11703,11922,12042,12146,12299,12400,12574,12708,12878,13014,13111,13211,13394,13580
1360.1,1506.5,1659.2,1852.5,2064.3,2317.4,2508.2,2696.6,2828.2,2930.6,3018.4,3238.4,3382.2,3560.2,3673.1,3800.8,3948.9,4072.8,4220.9,4358.1,4529.5,4661.4,4762.5,4849.8,5078.9,5227.7,5416.6,5536.8,5673.1,5790.6,5918,6078.8,6216.2,6383.7,6517.5,6619.5,6705,6928.5,7084.8,7267.5,7447.1,7549,7633.1,7853.2,8004.7,8213.6,8408.3,8512.6,8602.8,8834.3,8988.8,9179.7,9288.8,9421.1,9533.6,9668,9828.3,9963.3,10125,10262,10366,10454,10674,10829,11025,11202,11310,11397,11639,11799,11988,12102,12225,12359,12485,12649,12780,12957,13088,13192,13278,13513,13674
