d,l,s,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x
1988.4,2051.4,2114.4,2317.2,2892,3123.6,3266,3363.6,3458.7,3637.7,3815.8,4017.5,4137.3,4242.4,4402.4,4532.1,4689.5,4827.1,4923.8,5023,5212.4,5386.2,5597.9,5719.9,5823.7,5972.7,6074.6,6237.8,6369.1,6519.3,6652.1,6750.9,6846.9,7022.8,7195.4,7402.5,7524,7626,7796.2,7923.6,8080.4,8220.3,8322.5,8420.1,8589.1,8763.8,8953.5,9156.3,9232.2,9329.8,9501.7,9677.4,9892.3,10007,10108,10251,10349
2039.3,2097,2290.1,2348,2951.1,3193.5,3334.4,3432.1,3514.8,3746.6,3875.7,4076.7,4187.5,4318.4,4471.5,4596.8,4762.4,4895.3,4996.4,5088.1,5343,5476.7,5665.1,5775.4,5899.7,6024.7,6153.1,6313.5,6435,6592.6,6722.4,6827.7,6909.8,7141.3,7288.2,7463.4,7573,7704.1,7869.2,7990.3,8155.7,8295.1,8398.3,8483.2,8692.7,8832.5,9022.4,9204.4,9309,9393.6,9601.3,9767.3,9959.3,10056,10189,10304,10427
