u,u,u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,l,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,l,r
1343.6,1494.9,1645.3,1825.2,1987.9,2303.9,2441.5,2655.4,2793.6,2891,2982.7,3161.5,3340.5,3544.9,3670.6,3777.2,3944.6,4072.7,4225.1,4360.4,4459.4,4553.2,4723.2,4897.3,5110.8,5228.7,5333.2,5490.2,5590.4,5755.4,5881.8,6038.2,6321.5,6489.7,6616.2,6807.1,6950.4,7045.8,7138.3,7307.3,7487.5,7699.3,7816.2,7918.2,8069.5,8167.8,8349.8,8450.9,8619.9,8751.6,8905.2,9046.6,9155.3,9248.5,9420.4,9603.4,9803.1,10032,10126,10222,10411,10588,10804,10905
1374.7,1529.8,1693.2,1871.4,2062.9,2348.2,2524.3,2725.4,2863.3,2960.7,3047.1,3274.4,3431.2,3608.2,3729.3,3862.3,4012.6,4144.2,4300,4432.9,4534.5,4617.6,4840.2,4988.9,5178,5285.7,5413.2,5546.2,5677.4,5829.3,5956.8,6109.2,6371.1,6552.5,6713,6889.4,7023.2,7119.9,7205.4,7426.9,7579.3,7765.8,7874.2,8011.5,8125.4,8252.3,8404.7,8529.8,8694,8822.4,8980.1,9129.8,9230.4,9317,9535,9694.2,9884.9,10072,10210,10309,10528,10679,10868,10980
