u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,r,n,a,b,l,e,t,d,x,d,x,s
1630.3,1811.3,1969.2,2185,2326,2430.5,2522.7,2695.4,2870.4,3082,3211,3318.5,3471.4,3574.7,3747.9,3870.4,4027.3,4167,4269.2,4361.8,4541.9,4717.6,4915.2,5107.3,5185.5,5281.2,5456.5,5632.7,5835.1,6040.2,6123.7,6220,6403.3,6576.7,6784.8,6902.2,7006.4,7144.7,7248.2,7445.2,7575.8,7731.2,7864.5,7966,8060.6,8236.4,8414.7,8622.7,8817.5,8900.4,8998.3,9177.8,9358.8,9566.2,9686.2,9789.4,9930.5,10031,10201,10328,10490,10627,10724,10819,10998,11179,11382,11593,11684,11776,11959,12144,12359,12478,12582,12730,12829,12997,13128,13286,13428,13526,13621,13804,13991,14216,14420,14517,14613,14797,14979,15200,15352,15469,15615,15717,15890,16028,16199,16345,16443,16536,16726,16916,17138,17344,17573,17653,17752,17961,18142,18362,18481,18586,18740,18839,19024
1668.8,1854.8,2046.6,2256.9,2401.3,2502,2587,2811.4,2959.8,3150.5,3269.5,3399.4,3527.1,3660.8,3815.3,3948.3,4108.6,4240.8,4345.2,4426.2,4661.4,4806.6,4999.3,5153.4,5263.4,5351.2,5580.4,5725.4,5911.8,6091.1,6200.8,6292.9,6518.9,6667.2,6856.2,6954.8,7091.2,7200.7,7335.4,7520.7,7648.2,7808,7943,8041.8,8125.8,8358,8506.6,8699.2,8876,8979.5,9070.4,9303.4,9448.8,9634.5,9746.8,9880,9988.1,10119,10278,10409,10573,10701,10802,10886,11122,11280,11458,11659,11761,11852,12081,12235,12432,12537,12669,12788,12925,13076,13204,13370,13502,13604,13694,13928,14084,14296,14490,14593,14688,14915,15073,15274,15420,15560,15673,15800,15968,16113,16282,16417,16520,16606,16846,17014,17222,17435,17629,17729,17821,18077,18240,18436,18538,18674,18796,18931,19101
