u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1353,1473.6,1648.9,1823.4,1984.8,2231.8,2373.8,2477.1,2573,2764.8,2950.3,3164.2,3306.4,3421.9,3592.6,3729.3,3890,4044,4147.1,4241.4,4408.8,4583.4,4794.4,4928.8,5034.9,5207.1,5340.1,5505.4,5648.5,5747.1,5847.1,6027.8,6199.4,6413.8,6541.2,6646.2,6812.5,6912.7,7086.8,7223.2,7382.5,7529.3,7632.1,7727.6,7920.7,8101.2,8311.6,8440.6,8544.7,8690.3,8791.3,8955.6,9097.9,9263.5,9401.8,9502,9598.6,9775.6,9950.2,10166,10295,10401,10557,10657,10850
1398.2,1540.7,1702,1876.6,2081.9,2306.4,2450.3,2551.8,2644.2,2885.8,3044.7,3231.2,3366.3,3515.3,3666.6,3802.8,3985.3,4121.3,4223.7,4313.2,4534.8,4677.5,4855.2,4990.7,5130.2,5281.6,5426.9,5590.1,5722.7,5823.8,5919.6,6150.3,6301.1,6485.2,6603.7,6733.8,6870.1,7009.9,7163.3,7310.9,7468.4,7606.9,7709,7802.7,8049.3,8198.3,8380.2,8499.5,8634.4,8748.2,8876.9,9031.8,9177.6,9349.7,9476.9,9579.1,9672.5,9902.8,10049,10235,10359,10493,10618,10747,10920
