u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,t,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1096.7,1267.2,1434.4,1608.4,1802.1,1979.2,2199.8,2347,2449.7,2543.8,2723.3,2902.8,3111.6,3237.1,3342.3,3507.5,3640.4,3803.6,3946.6,4041.6,4140.6,4325.6,4500,4715.6,4837.9,4944.7,5110.6,5246.2,5412.8,5545.8,5648.8,5743.8,5913.8,6094.2,6308.9,6427.4,6531,6699.5,6834.6,6994,7132.4,7237,7332.1,7521.3,7705.6,7923,8047.7,8150.9,8304.5,8406.3,8569.2,8702.2,8875.2,9019.6,9119.4,9213.1,9395.8,9583.3,9802.6,9925.3,10032,10190,10292,10472,10605,10775,10928,11032,11129
1140.8,1312,1481,1663.6,1852.4,2068.2,2277.6,2419.6,2522.5,2609.5,2842.4,3001.9,3176.5,3303.9,3431.8,3581.8,3716.9,3883.3,4018.4,4120,4208,4452.6,4601.3,4782.1,4898.4,5037.2,5185.8,5332,5493.7,5622.8,5725.4,5814.7,6037.6,6197.4,6379.3,6484.4,6619.8,6775.5,6912.9,7076.6,7212,7314.9,7401.3,7645.8,7809,7997.3,8107.4,8244.5,8369,8504.3,8646.8,8780.8,8960.2,9099.8,9197.2,9287.1,9522.6,9686.2,9876.2,9984.2,10125,10254,10385,10550,10691,10859,11009,11109,11200
